MN 8,R,0.779306823
MO 1,D,0.959777989
MO 2,R,0.714294508
MO 3,R,0.950284495
MO 4,R,0.959777989
MO 5,D,0.959777989
MO 6,R,0.959777989
MO 7,R,0.959777989
MO 8,R,0.954536753
MS 1,R,0.959777989
MS 2,D,0.954536753
MS 3,R,0.806465231
MS 4,R,0.954536753
MT 0,R,0.621862612
NC 1,D,0.954536753
NC 10,R,0.941048626
NC 11,R,0.959777989
NC 12,D,0.958517167
NC 13,R,0.663076577
NC 2,R,0.885253876
NC 3,R,1
NC 4,D,0.954536753
NC 5,R,0.94953053
NC 6,R,0.959777989
NC 7,R,0.891616119
NC 8,R,0.841999345
NC 9,R,0.609294951
ND 0,R,0.591059898
NE 1,R,0.959777989
NE 2,R,0.6473652
NE 3,R,0.959777989
NH 1,D,0.547497219
NH 2,D,0.796664578
NJ 1,D,0.953782788
NJ 10,D,0.948005193
NJ 11,R,0.556182206
NJ 12,D,0.959777989
NJ 2,D,0.591347528
NJ 3,R,0.711846163
NJ 4,R,0.698518528
NJ 5,D,0.810794496
NJ 6,D,0.958165125
NJ 7,R,0.671297269
NJ 8,D,0.906510189
NJ 9,D,1
NM 1,D,0.799022585
NM 2,R,0.573826522
NM 3,D,0.859773154
NV 1,D,0.953782788
NV 2,R,0.959777989
NV 3,D,0.512847006
NV 4,D,0.600618468
NY 1,R,0.711846163
NY 10,D,0.953330369
NY 11,R,0.667079451
NY 12,D,0.948590226
NY 13,D,0.95136397
NY 14,D,0.601248742
NY 15,D,0.83240654
NY 16,D,1
NY 17,D,0.954536753
NY 18,D,0.951126835
NY 19,R,0.715441278
NY 2,R,0.754283256
NY 20,D,0.959777989
NY 21,R,0.772659634
NY 22,R,0.719034651
NY 23,R,0.855368667
NY 24,R,0.737389144
NY 25,D,0.699027884
NY 26,D,0.959777989
NY 27,D,0.518049602
NY 3,D,0.939091
NY 4,D,0.953782788
NY 5,D,1
NY 6,D,0.953330369
NY 7,D,0.552686221
NY 8,D,0.959777989
NY 9,D,0.954536753
OH 1,R,0.672910133
OH 10,R,0.818567635
OH 11,D,0.959777989
OH 12,R,0.671297269
OH 13,D,0.953330369
OH 14,R,0.700273629
OH 15,R,0.781311944
OH 16,R,0.859773154
OH 2,R,0.924038294
OH 3,D,0.959777989
OH 4,R,0.890338553
OH 5,R,0.954536753
OH 6,R,0.959777989
OH 7,R,0.612928482
OH 8,R,0.959777989
OH 9,D,0.959777989
OK 1,R,0.799022585
OK 2,R,0.959777989
OK 3,R,0.959777989
OK 4,R,0.953330369
OK 5,R,0.780860923
OR 1,D,0.959777989
OR 2,R,0.847420597
OR 3,D,0.6117269
OR 4,D,0.959777989
OR 5,D,0.950189415
PA 1,R,0.520654064
PA 10,R,0.701351697
PA 11,R,0.763595227
PA 12,R,0.953782788
PA 13,R,0.618018468
PA 14,D,0.593980388
PA 15,R,0.823949168
PA 16,R,0.761965329
PA 17,R,0.531022151
PA 18,D,1
PA 2,D,0.959777989
PA 3,D,0.779593967
PA 4,R,0.508802458
PA 5,R,0.507607456
PA 6,D,0.627901094
PA 7,R,0.849994617
PA 8,D,0.553848241
PA 9,R,0.701401308
RI 1,D,0.959777989
RI 2,D,0.953782788
SC 1,R,0.598385471
SC 2,R,0.952576404
SC 3,R,0.959777989
SC 4,R,0.526644499
SC 5,R,0.677682741
SC 6,D,0.959777989
SC 7,R,0.959777989
SD 0,R,0.590739162
TN 1,R,0.882463307
TN 2,R,0.854818209
TN 3,R,0.95081376
TN 4,R,0.805689949
TN 5,D,0.934976123
TN 6,R,0.805258848
TN 7,R,0.79391806
TN 8,R,0.959777989
TN 9,D,0.908585555
TX 1,R,0.959777989
TX 10,R,0.959777989
TX 11,R,0.953947308
TX 12,R,0.953330369
TX 13,R,0.953330369
TX 14,R,0.950610005
TX 15,D,0.849745608
TX 16,D,0.859773154
TX 17,R,0.959777989
TX 18,D,0.959777989
TX 19,R,0.959777989
TX 2,D,0.710270209
TX 20,D,0.954536753
TX 21,R,0.59893511
TX 22,R,0.849775192
TX 23,R,0.618650306
TX 24,R,0.959777989
TX 25,R,0.916590826
TX 26,R,0.959777989
TX 27,R,0.959777989
TX 28,D,0.959777989
TX 29,D,0.806465231
TX 3,R,0.799022585
TX 30,D,0.90252553
TX 31,R,0.668083865
TX 32,R,0.719788616
TX 33,D,0.953330369
TX 34,D,0.954536753
TX 35,D,0.958517167
