NJ 12,D,1.0
NJ 2,D,0.995
NJ 3,R,0.6366666666666667
NJ 4,R,0.935
NJ 5,D,0.91
NJ 6,D,1.0
NJ 7,D,0.805
NJ 8,D,1.0
NJ 9,D,1
NM 1,D,0.995
NM 2,D,0.55
NM 3,D,1.0
NV 1,D,1.0
NV 2,R,1.0
NV 3,D,0.835
NV 4,D,0.68
NY 1,R,0.765
NY 10,D,1.0
NY 11,R,0.56
NY 12,D,0.99
NY 13,D,1.0
NY 14,D,0.71
NY 15,D,0.955
NY 16,D,1
NY 17,D,1.0
NY 18,D,0.985
NY 19,R,0.655
NY 2,R,0.795
NY 20,D,1.0
NY 21,R,0.86
NY 22,R,0.735
NY 23,R,0.8
NY 24,R,0.825
NY 25,D,0.845
NY 26,D,1.0
NY 27,D,0.645
NY 3,D,0.99
NY 4,D,1.0
NY 5,D,1
NY 6,D,1.0
NY 7,D,0.575
NY 8,D,1.0
NY 9,D,1.0
OH 1,R,0.745
OH 10,R,0.94
OH 11,D,1.0
OH 12,D,0.76
OH 13,D,1.0
OH 14,R,0.895
OH 15,R,0.895
OH 16,R,0.98
OH 2,R,0.935
OH 3,D,1.0
OH 4,R,0.93
OH 5,R,1.0
OH 6,R,1.0
OH 7,R,0.66
OH 8,R,1.0
OH 9,D,1.0
OK 1,R,0.995
OK 2,R,1.0
OK 3,R,1.0
OK 4,R,1.0
OK 5,R,0.755
OR 1,D,1.0
OR 2,R,0.91
OR 3,D,0.77
OR 4,D,0.995
OR 5,D,0.9
PA 1,D,0.75
PA 10,R,0.745
PA 11,R,0.76
PA 12,R,1.0
PA 13,R,0.995
PA 14,D,0.785
PA 15,R,0.765
PA 16,R,0.775
PA 17,D,0.56
PA 18,D,1
PA 2,D,1.0
PA 3,D,0.895
PA 4,R,0.755
PA 5,R,0.67
PA 6,D,0.93
PA 7,R,0.655
PA 8,D,0.85
PA 9,R,0.97
RI 1,D,1.0
RI 2,D,1.0
SC 1,R,0.82
SC 2,R,1.0
SC 3,R,1.0
SC 4,R,0.605
SC 5,R,0.77
SC 6,D,1.0
SC 7,R,1.0
SD 0,R,0.9
TN 1,R,0.985
TN 2,R,0.985
TN 3,R,0.99
TN 4,R,0.815
TN 5,D,1.0
TN 6,R,1.0
TN 7,R,0.985
TN 8,R,1.0
TN 9,D,0.975
TX 1,R,1.0
TX 10,R,0.955
TX 11,R,1.0
TX 12,R,1.0
TX 13,R,1.0
TX 14,R,1.0
TX 15,D,0.955
TX 16,D,0.995
TX 17,R,1.0
TX 18,D,1.0
TX 19,R,1.0
TX 2,D,0.7
TX 20,D,1.0
TX 21,R,0.735
TX 22,R,0.935
TX 23,R,0.81
TX 24,R,1.0
TX 25,R,0.94
TX 26,R,1.0
TX 27,R,1.0
TX 28,D,1.0
TX 29,D,0.995
TX 3,R,0.995
TX 30,D,0.93
TX 31,R,0.75
TX 32,D,0.535
TX 33,D,1.0
TX 34,D,0.995
TX 35,D,0.995
TX 36,R,0.97
TX 4,R,1.0
TX 5,R,1
TX 6,R,0.74
TX 7,D,0.815
TX 8,R,1.0
TX 9,D,0.53
UT 1,R,1.0
UT 2,R,1.0
UT 3,R,1.0
UT 4,D,0.695
VA 1,R,1.0
VA 10,D,0.775
VA 11,D,0.995
VA 2,R,0.805
VA 3,D,1
VA 4,D,1.0
VA 5,D,0.66
VA 6,R,0.98
VA 7,D,0.775
VA 8,D,1.0
VA 9,R,0.745
VT 0,D,1.0
WA 1,D,0.995
WA 10,D,1.0
WA 2,D,1.0
WA 3,R,0.73
WA 4,R,1.0
WA 5,R,0.7
WA 6,D,1.0
WA 7,D,1.0
WA 8,D,0.535
WA 9,D,0.725
WI 1,R,0.515
WI 2,D,1
WI 3,D,1.0
WI 4,D,1.0
WI 5,R,0.97
WI 6,R,0.765
WI 7,R,1.0
WI 8,R,1.0
WV 1,R,1.0
WV 2,R,0.99
WV 3,R,0.74
WY 0,R,1.0
