,Unnamed: 0,Unnamed: 0.1,Cand_Name,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Year,recent_presidential_vote,percent_bachelor_or_above,gov_party,Party_Previous_Vote_Share,Incumbent,minority_percentage,Gender,Presidential_Approval_Rating,Same_Party_As_President,seat_transition,Median_Income,name_commonness,Primary.Vote.Percent,labor_force,Raised,Spent,won
63,293,298,"ALLISON, TIMOTHY JAMES",CA,24.0,DEM,2010,0.5817609020000001,34.3,REP,0.4184608,0,0.24252,1.0,0.56,True,4.0,74103.0,21,47.39,75.37143,183711.03,180025.88,0
64,294,294,"GALLEGLY, ELTON",CA,24.0,REP,2010,0.5817609020000001,34.3,REP,0.5815392,1,0.24252,1.0,0.56,False,4.0,74103.0,500,100.00,75.37143,783256.55,811193.84,1
65,301,302,"MCKEON, HOWARD P 'BUCK'",CA,25.0,REP,2010,0.675909567,21.2,REP,0.5772799279999999,1,0.36697,1.0,0.56,False,4.0,57862.0,188,100.00,74.9,1254589.69,1334109.46,1
68,310,310,"SHERMAN, BRAD",CA,27.0,DEM,2010,0.701108324,29.6,REP,0.6850940870000001,1,0.37793,1.0,0.56,True,4.0,56836.0,123,100.00,74.6,1743592.33,818272.53,1
70,313,316,"FROYD, ERIK MERLIN",CA,28.0,REP,2010,0.701108324,27.5,REP,0.0,0,0.39713,1.0,0.56,False,4.0,50607.0,87,100.00,74.6,39635.54,39508.86,0
71,317,320,"COLBERT, JOHN",CA,29.0,REP,2010,0.701108324,38.5,REP,0.267398559,0,0.4284,1.0,0.56,False,4.0,57700.0,6,100.00,73.4,675595.25,671227.53,0
74,329,329,"WILKERSON, CHARLES EDWARD",CA,30.0,REP,2010,0.701108324,59.7,REP,0.0,0,0.21402,1.0,0.56,False,4.0,75700.0,23,32.57,71.1,361908.52,360852.28,0
75,330,332,"BECERRA, XAVIER",CA,31.0,DEM,2010,0.701108324,20.0,REP,1.0,1,0.6171800000000001,1.0,0.56,True,0.0,35194.0,500,88.03,72.41333,1716196.21,1699464.63,1
77,339,355,"CHU, JUDY",CA,32.0,DEM,2010,0.701108324,17.0,REP,0.999938532,1,0.59262,0.0,0.56,True,4.0,49529.0,500,100.00,75.8,2502170.51,1860356.68,1
79,356,356,"BASS, KAREN",CA,33.0,DEM,2010,0.701108324,33.1,REP,0.8756863109999999,0,0.65563,0.0,0.56,True,0.0,41538.0,25,85.30,74.0,932281.19,768918.65,1
80,366,369,"MILLER, WAYNE",CA,34.0,REP,2010,0.701108324,11.7,REP,0.229053996,0,0.48716,1.0,0.56,False,0.0,36270.0,112,85.04,74.72632,0.0,0.0,0
81,367,368,"ROYBAL-ALLARD, LUCILLE",CA,34.0,DEM,2010,0.701108324,11.7,REP,0.770946004,1,0.48716,0.0,0.56,True,0.0,36270.0,500,70.75,74.72632,577788.12,611209.15,1
83,371,370,"WATERS, MAXINE",CA,35.0,DEM,2010,0.701108324,17.0,REP,0.8258233420000001,1,0.61822,0.0,0.56,True,4.0,41271.0,500,100.00,74.82857,694020.76,718505.34,1
85,373,376,"HARMAN, JANE",CA,36.0,DEM,2010,0.701108324,43.2,REP,0.686443824,1,0.35769,0.0,0.56,True,0.0,65717.0,500,59.09,74.9,1203707.21,1301447.56,1
86,381,385,"PARKER, STAR",CA,37.0,REP,2010,0.701108324,19.2,REP,0.0,0,0.53483,1.0,0.56,False,0.0,46950.0,500,2.74,75.2,1851459.03,1826846.04,0
88,385,386,"NAPOLITANO, GRACE",CA,38.0,DEM,2010,0.701108324,15.0,REP,0.817271723,1,0.46279,0.0,0.56,True,0.0,51381.0,500,100.00,74.6,391824.31,265608.46,1
90,390,393,"ANDRE, LARRY STEVEN",CA,39.0,REP,2010,0.701108324,16.9,REP,0.30326100300000003,0,0.56701,1.0,0.56,False,4.0,53439.0,58,100.00,74.6,53710.99,50565.17,1
91,391,391,"SANCHEZ, LINDA",CA,39.0,DEM,2010,0.701108324,16.9,REP,0.6967389970000001,0,0.56701,0.0,0.56,True,4.0,53439.0,68,29.25,74.6,723863.07,741142.01,0
92,393,394,"AVALOS, CHRISTINA",CA,40.0,DEM,2010,0.480547263,31.2,REP,0.374509592,0,0.42897,0.0,0.56,True,4.0,65243.0,16,100.00,73.4,0.0,0.0,0
93,394,395,"ROYCE, ED MR",CA,40.0,REP,2010,0.480547263,31.2,REP,0.625490408,1,0.42897,1.0,0.56,False,4.0,65243.0,40,100.00,73.4,1797849.31,1661978.1,1
95,401,403,"MILLER, GARY G. G",CA,42.0,REP,2010,0.633596425,38.7,REP,0.601580628,1,0.37563,1.0,0.56,False,4.0,83029.0,47,85.04,72.41333,767699.77,769415.39,1
97,404,406,"BACA, JOE",CA,43.0,DEM,2010,0.526335474,11.5,REP,0.691437112,1,0.41693,1.0,0.56,True,4.0,46728.0,107,100.00,75.8,758696.3,697007.19,1
98,405,405,"FOLKENS, SCOTT LLOYD",CA,43.0,REP,2010,0.526335474,11.5,REP,0.30856288800000004,0,0.41693,1.0,0.56,False,4.0,46728.0,17,100.00,75.8,23852.0,24769.0,0
99,406,407,"CALVERT, KEN",CA,44.0,REP,2010,0.491708945,25.8,REP,0.511911656,1,0.31345,1.0,0.56,False,4.0,67381.0,31,66.28,74.0,1663591.45,1540252.72,1
101,413,417,"ARNOLD, KENNETH",CA,46.0,DEM,2010,0.646808608,40.5,REP,0.430777805,0,0.3426,1.0,0.56,True,4.0,71332.0,31,21.26,75.72856999999999,18405.4,18087.87,0
103,420,419,"SANCHEZ, LORETTA",CA,47.0,DEM,2010,0.480547263,13.5,REP,0.6948957790000001,1,0.58307,0.0,0.56,True,4.0,51647.0,500,29.25,76.1,2056345.28,2303721.82,1
108,432,432,"BUSBY, FRANCINE P",CA,50.0,DEM,2010,0.5478353,45.4,REP,0.4517834020000001,0,0.23574,0.0,0.56,True,4.0,70362.0,500,66.07,77.1,610606.49,577138.56,0
111,447,454,"CRIMMINS, MICHAEL PETER",CA,53.0,REP,2010,0.5478353,39.1,REP,0.274507307,0,0.30935,1.0,0.56,False,,48679.0,1,34.43,77.26666999999999,144824.35,140519.48,0
119,492,492,"LAMBORN, DOUGLAS",CO,5.0,REP,2010,0.403664201,33.1,DEM,0.600301496,1,0.1772,1.0,0.49,False,0.0,50925.0,50,100.00,76.2,338475.98,182882.68,1
121,496,497,"FLERLAGE, JOHN",CO,6.0,DEM,2010,0.51998606,48.8,DEM,0.393310569,0,0.11075,1.0,0.49,True,4.0,82062.0,6,100.00,76.0,152156.72,151280.23,0
123,505,504,"PERLMUTTER, EDWIN G",CO,7.0,DEM,2010,0.561213788,27.5,DEM,0.634820471,1,0.23678,1.0,0.49,True,,50360.0,185,100.00,77.1,2443962.01,2943592.74,1
127,522,518,"PECKINPAUGH, JANET",CT,2.0,REP,2010,0.6274678029999999,32.6,REP,0.323717423,0,0.12174,0.0,0.57,False,0.0,68952.0,125,43.20,77.26666999999999,247390.61,269667.73,0
128,525,526,"DELAURO, ROSA L",CT,3.0,DEM,2010,0.605046349,32.1,REP,0.0,1,0.22635,0.0,0.57,True,4.0,57676.0,500,,73.2,1309372.93,1373230.35,1
130,530,534,"DEBICELLA, DAN",CT,4.0,REP,2010,0.6037183279999999,45.9,REP,0.475600435,0,0.24968,1.0,0.57,False,0.0,77074.0,12,59.90,72.2,1965914.57,1961841.48,0
132,539,546,"CALIGIURI, SAM",CT,5.0,REP,2010,0.615582553,33.6,REP,39.4,0,0.21129,1.0,0.57,False,,60460.0,64,39.17,72.44736999999999,1269420.31,1258199.4,0
137,601,602,"STANLEY, TROY DWAYNE",FL,4.0,REP,2010,0.305446175,27.2,REP,0.652546864,0,0.24168,1.0,0.47,False,0.0,50337.0,62,,69.9,554327.37,669113.37,0
138,609,610,"SCHONBERG, STEVEN E",FL,6.0,DEM,2010,0.492374728,24.3,REP,0.0,0,0.23019,1.0,0.47,True,4.0,43971.0,19,,70.31053,10727.0,8052.0,1
139,614,617,"MICA, JOHN L. MR.",FL,7.0,REP,2010,0.364953988,28.3,REP,0.6200336089999999,1,0.18269,1.0,0.47,False,4.0,48341.0,6,100.00,71.37143,1205985.13,1334101.34,1
143,633,634,"BILIRAKIS, GUS MICHAEL",FL,9.0,REP,2010,,29.4,REP,0.621712622,1,0.13821,1.0,0.47,False,4.0,46928.0,500,100.00,71.0,1088911.24,915411.41,1
144,634,635,"DE PALMA, ANITA",FL,9.0,DEM,2010,,29.4,REP,0.362669285,0,0.13821,0.0,0.47,True,4.0,46928.0,500,59.36,71.0,13496.0,13401.0,0
145,637,639,"JUSTICE, CHARLIE",FL,10.0,DEM,2010,,26.9,REP,0.393167784,0,0.12019,1.0,0.47,True,1.0,44062.0,23,100.00,71.1,321127.81,320532.34,0
146,640,640,"YOUNG, C. W. BILL",FL,10.0,REP,2010,,26.9,REP,0.6068023370000001,1,0.12019,1.0,0.47,False,1.0,44062.0,500,100.00,71.1,697977.68,965474.94,1
147,644,646,"CASTOR, KATHY",FL,11.0,DEM,2010,,24.4,REP,0.716558142,1,0.37858,0.0,0.47,True,4.0,37724.0,134,85.29,73.2,887032.51,680010.98,1
148,647,647,"PRENDERGAST, MIKE",FL,11.0,REP,2010,,24.4,REP,0.283441858,0,0.37858,1.0,0.47,False,4.0,37724.0,1,47.04,73.2,510417.15,501047.01,0
150,653,652,"ROSS, DENNIS ALAN",FL,12.0,REP,2010,0.291468853,20.0,REP,0.574626427,0,0.24596,1.0,0.47,False,0.0,42150.0,59,68.98,71.3,1174682.32,1151468.58,1
151,656,655,"WILKINSON, RANDY",FL,12.0,REP,2010,0.291468853,20.0,REP,0.574626427,0,0.24596,1.0,0.47,False,0.0,42150.0,77,,71.3,1174682.32,1151468.58,0
152,658,660,"BUCHANAN, VERNON",FL,13.0,REP,2010,,26.8,REP,0.555391906,1,0.11361,1.0,0.47,False,0.0,45514.0,500,83.45,72.3,2078743.41,973705.05,1
