Matthews, Cynthia Rodriguez#CA#26#DEM#2006#67878
Brown, Ted#CA#26#LIB#2006#5887
Graham, Elliot#CA#26#OTHER#2006#3351
Sherman, Brad#CA#27#DEM#2006#92650
Hankwitz, Peter#CA#27#REP#2006#42074
Berman, Howard L.#CA#28#DEM#2006#79866
Kesselman, Stanley Kimmel#CA#28#REP#2006#20629
De Lear, Byron#CA#28#GRE#2006#3868
Ross, Kelley L.#CA#28#LIB#2006#3679
Schiff, Adam#CA#29#DEM#2006#91014
Bodell, William J.#CA#29#REP#2006#39321
Paparian, William M.#CA#29#GRE#2006#8197
Llamas, Lynda L.#CA#29#OTHER#2006#2599
Keller, Jim#CA#29#LIB#2006#2258
Burton, John#CA#29#WRI#2006#15
Waxman, Henry A.#CA#30#DEM#2006#151284
Jones, David Nelson#CA#30#REP#2006#55904
Cannon, Adele M.#CA#30#OTHER#2006#4546
Becerra, Xavier#CA#31#DEM#2006#64952
Solis, Hilda L.#CA#32#DEM#2006#76059
Faegre, Leland#CA#32#LIB#2006#15627
Watson, Diane E.#CA#33#DEM#2006#113715
Roybal-Allard, Lucille#CA#34#DEM#2006#57459
Miller, Wayne#CA#34#REP#2006#17359
Crane, Naomi#CA#34#WRI#2006#1
Waters, Maxine#CA#35#DEM#2006#82498
Mego, Gordon Michael#CA#35#OTHER#2006#8343
Ireland, Paul T.#CA#35#LIB#2006#7665
Harman, Jane#CA#36#DEM#2006#105323
Gibson, Brian#CA#36#REP#2006#53068
Smith, James R.#CA#36#OTHER#2006#4592
Binkley, Mike#CA#36#LIB#2006#3170
Millender-McDonald, Juanita#CA#37#DEM#2006#80716
Peters, Herb#CA#37#LIB#2006#17246
Napolitano, Grace F.#CA#38#DEM#2006#75181
Street, Sidney W.#CA#38#REP#2006#24620
Sanchez, Linda T.#CA#39#DEM#2006#72149
Andion, James L.#CA#39#REP#2006#37384
Royce, Ed#CA#40#REP#2006#100995
Hoffman, Florice Orea#CA#40#DEM#2006#46418
Inman, Philip H.#CA#40#LIB#2006#3876
Lewis, Jerry#CA#41#REP#2006#109761
Contreras, Louie A.#CA#41#DEM#2006#54235
Petersen, Carol#CA#41#WRI#2006#48
Miller, Gary G.#CA#42#REP#2006#129720
Baca, Joe#CA#43#DEM#2006#52791
Folkens, Scott#CA#43#REP#2006#29069
Calvert, Ken#CA#44#REP#2006#89555
Vandenberg, Louis#CA#44#DEM#2006#55275
Akin, Kevin#CA#44#OTHER#2006#4486
Bono, Mary#CA#45#REP#2006#99638
Roth, David#CA#45#DEM#2006#64613
Rohrabacher, Dana#CA#46#REP#2006#116176
Brandt, Jim#CA#46#DEM#2006#71573
Chang, Dennis#CA#46#LIB#2006#7303
Sanchez, Loretta#CA#47#DEM#2006#47134
Nguyen, Tan#CA#47#REP#2006#28485
Campbell, John#CA#48#REP#2006#120130
Young, Steve#CA#48#DEM#2006#74647
Cohen, Bruce#CA#48#LIB#2006#5750
Issa, Darrell#CA#49#REP#2006#98831
Criscenzo, Jeeni#CA#49#DEM#2006#52227
Grossmith, Lars R.#CA#49#LIB#2006#4952
Ford, Frank#CA#49#WRI#2006#127
Bilbray, Brian P.#CA#50#REP#2006#118018
Busby, Francine#CA#50#DEM#2006#96612
King, Paul#CA#50#LIB#2006#4119
Clark, Miriam E.#CA#50#OTHER#2006#3353
Filner, Bob#CA#51#DEM#2006#78114
Miles, Blake L.#CA#51#REP#2006#34931
Litwin, Dan#CA#51#LIB#2006#2790
Arguello, David#CA#51#WRI#2006#4
Hunter, Duncan#CA#52#REP#2006#123696
Rinaldi, John#CA#52#DEM#2006#61208
Benoit, Michael#CA#52#LIB#2006#6465
Davis, Susan A.#CA#53#DEM#2006#97541
"""""""Woodrum, John """"""""Woody"""""""""""""""#CA#53#REP#2006#43312
Lippe, Ernie#CA#53#LIB#2006#3534
DeGette, Diana L.#CO#1#DEM#2006#129446
Kelly, Thomas D.#CO#1#GRE#2006#32825
Udall, Mark#CO#2#DEM#2006#157850
Mancuso, Rich#CO#2#REP#2006#65481
Olsen, Norm#CO#2#LIB#2006#5025
Calhoun, J.A.#CO#2#GRE#2006#2951
Salazar, John#CO#3#DEM#2006#146488
Tipton, Scott#CO#3#REP#2006#86930
Sargent, Bert L.#CO#3#LIB#2006#4417
Lohmiller, Bruce E.#CO#3#WRI#2006#23
Musgrave, Marilyn N.#CO#4#REP#2006#109732
Paccione, Angie#CO#4#DEM#2006#103748
Eidsness, Eric#CO#4#OTHER#2006#27133
Lamborn, Doug#CO#5#REP#2006#123264
Fawcett, Jay#CO#5#DEM#2006#83431
Hand, Richard D.#CO#5#WRI#2006#41
Scott, Brian X.#CO#5#WRI#2006#12
Hollister, Gregory S.#CO#5#WRI#2006#8
Tancredo, Tom#CO#6#REP#2006#158806
Winter, Bill#CO#6#DEM#2006#108007
Woehr, Jack J.#CO#6#LIB#2006#4093
Botero, Juan B.#CO#6#WRI#2006#25
Perlmutter, Ed#CO#7#DEM#2006#103918
O'Donnell, Rick#CO#7#REP#2006#79571
Chandler, Dave#CO#7#GRE#2006#3073
McCarville, Roger#CO#7#OTHER#2006#2605
Heckman, John#CO#7#WRI#2006#2
Moore, Steve#CO#7#WRI#2006#2
Sexton, John David#CO#7#WRI#2006#1
Larson, John B.#CT#1#DEM#2006#154539
MacLean, Scott#CT#1#REP#2006#53010
Masullo, Miriam J.#CT#1#WRI#2006#43
Courtney, Joe#CT#2#DEM#2006#121248
Simmons, Rob#CT#2#REP#2006#121165
DeLauro, Rosa L.#CT#3#DEM#2006#150436
Vollano, Joseph#CT#3#REP#2006#44386
Sumrall, Daniel A.#CT#3#GRE#2006#3089
Shays, Christopher#CT#4#REP#2006#106510
Farrell, Diane#CT#4#DEM#2006#99450
Maymin, Philip Z.#CT#4#LIB#2006#3058
Vacancy in Nomination#CT#4#GRE#2006#1
Murphy, Chris#CT#5#OTHER#2006#122980
Johnson, Nancy L.#CT#5#REP#2006#94824
Castle, Michael N.#DE#0#REP#2006#143897
Spivack, Dennis#DE#0#DEM#2006#97565
Hartley-Nagle, Karen M.#DE#0#OTHER#2006#5769
Berg, Michael#DE#0#GRE#2006#4463
Miller, Jeff#FL#1#REP#2006#135786
Roberts, Joe#FL#1#DEM#2006#62340
Boyd, Allen#FL#2#DEM#2006#1
Brown, Corrine#FL#3#DEM#2006#1
Crenshaw, Ander#FL#4#REP#2006#141759
Harms, Robert J.#FL#4#DEM#2006#61704
Blade, John#FL#4#WRI#2006#16
"""""""Brown-Waite, Virginia """"""""Ginny"""""""""""""""#FL#5#REP#2006#162421
Russell, John T.#FL#5#DEM#2006#108959
Stearns, Clifford (Cliff) B.#FL#6#REP#2006#136601
Bruderly, David E.#FL#6#DEM#2006#91528
Mica, John L.#FL#7#REP#2006#149656
Chagnon, John F.#FL#7#DEM#2006#87584
Keller, Ric#FL#8#REP#2006#95258
Stuart, Charlie#FL#8#DEM#2006#82526
Hoaglund, Wes#FL#8#IND#2006#2640
Mauro, D.J.#FL#8#WRI#2006#17
Sapp, Larry#FL#8#WRI#2006#3
Bilirakis, Gus Michael#FL#9#REP#2006#123016
Busansky, Phyllis#FL#9#DEM#2006#96978
Pasayan, Andrew#FL#9#WRI#2006#19
Young, C.W. Bill#FL#10#REP#2006#131488
Simpson, Samm#FL#10#DEM#2006#67950
Fiorella, Salvatore A.#FL#10#WRI#2006#7
Castor, Kathy#FL#11#DEM#2006#97470
Adams, Eddie , Jr.#FL#11#REP#2006#42454
Greenwald, Jim#FL#11#WRI#2006#13
Spencer, R. J.#FL#11#WRI#2006#5
Putnam, Adam H.#FL#12#REP#2006#124452
Viscusi, Joe#FL#12#IND#2006#34976
Bowlin, Ed#FL#12#IND#2006#20636
Buchanan, Vern#FL#13#REP#2006#119309
Jennings, Christine#FL#13#DEM#2006#118940
Mack, Connie#FL#14#REP#2006#151615
Neeld, Robert M.#FL#14#DEM#2006#83920
Grayson, Richard#FL#14#WRI#2006#3
Dan#FL#14#WRI#2006#1
Weldon, Dave#FL#15#REP#2006#125965
Bowman, Bob#FL#15#DEM#2006#97834
Mahoney, Tim#FL#16#DEM#2006#115832
Negron, Joe#FL#16#REP#2006#111415
Ross, Emmie#FL#16#IND#2006#6526
Meek, Kendrick B.#FL#17#DEM#2006#90663
Simpson, Eric#FL#17#WRI#2006#23
Ros-Lehtinen, Ileana#FL#18#REP#2006#79631
"""""""Patlak, David """"""""Big Dave"""""""""""""""#FL#18#DEM#2006#48499
Trowe, Margaret#FL#18#WRI#2006#2
Wexler, Robert#FL#19#DEM#2006#1
Wasserman Schultz, Debbie#FL#20#DEM#2006#1
Diaz-Balart, Lincoln#FL#21#REP#2006#66784
Gonzalez, Frank J.#FL#21#DEM#2006#45522
Klein, Ron#FL#22#DEM#2006#108688
Shaw, E. Clay#FL#22#REP#2006#100663
Evangelista, Neil#FL#22#IND#2006#4254
Hastings, Alcee L.#FL#23#DEM#2006#1
Feeney, Tom#FL#24#REP#2006#123795
Curtis, Clint#FL#24#DEM#2006#89863
Diaz-Balart, Mario#FL#25#REP#2006#60765
Calderin, Michael#FL#25#DEM#2006#43168
Kingston, Jack#GA#1#REP#2006#94961
Nelson, Jim#GA#1#DEM#2006#43668
Bishop, Sanford#GA#2#DEM#2006#88662
Hughes, Bradley C.#GA#2#REP#2006#41967
Westmoreland, Lynn#GA#3#REP#2006#130428
McGraw, Mike#GA#3#DEM#2006#62371
"""""""Johnson, Henry C. """"""""Hank,"""""""" Jr."""""""#GA#4#DEM#2006#106352
Davis, Catherine#GA#4#REP#2006#34778
Collins, Loren#GA#4#WRI#2006#64
Lewis, John#GA#5#DEM#2006#122380
Garcia, Eleanor#GA#5#WRI#2006#48
Price, Tom#GA#6#REP#2006#144958
Sinton, Steve#GA#6#DEM#2006#55294
Linder, John#GA#7#REP#2006#130561
Burns, Allan#GA#7#DEM#2006#53553
Marshall, Jim#GA#8#DEM#2006#80660
Collins, Mac#GA#8#REP#2006#78908
Deal, Nathan#GA#9#REP#2006#128685
Bradbury, John D.#GA#9#DEM#2006#39240
Brown, Brian Russell#GA#9#WRI#2006#1
Norwood, Charlie#GA#10#REP#2006#117721
Holley, Terry#GA#10#DEM#2006#57032
Gingrey, Phil#GA#11#REP#2006#118524
Pillion, Patrick Samuel#GA#11#DEM#2006#48261
Satterwhite, William#GA#11#WRI#2006#3
Barrow, John#GA#12#DEM#2006#71651
Burns, Max#GA#12#REP#2006#70787
Scott, David#GA#13#DEM#2006#103019
Honeycutt, Deborah Travis#GA#13#REP#2006#45770
Abercrombie, Neil#HI#1#DEM#2006#112904
Hough, Richard (Noah)#HI#1#REP#2006#49890
Hirono, Mazie K.#HI#2#DEM#2006#106906
Hogue, Bob#HI#2#REP#2006#68244
Sali, Bill#ID#1#REP#2006#115843
Grant, Larry#ID#1#DEM#2006#103935
Olson, Dave#ID#1#IND#2006#6857
Hedden-Nicely, Andy#ID#1#OTHER#2006#2882
Smith, Paul#ID#1#OTHER#2006#2457
Simpson, Mike#ID#2#REP#2006#132262
Hansen, Jim#ID#2#DEM#2006#73441
Forth, Cameron#ID#2#IND#2006#5113
Hedrick, Travis J.#ID#2#OTHER#2006#2516
Rush, Bobby L.#IL#1#DEM#2006#146623
Tabour, Jason E.#IL#1#REP#2006#27804
Jackson, Jesse L., Jr.#IL#2#DEM#2006#146347
Belin, Robert#IL#2#REP#2006#20395
Williams, Anthony W.#IL#2#LIB#2006#5748
Lipinski, Daniel William#IL#3#DEM#2006#127768
Wardingley, Raymond G.#IL#3#REP#2006#37954
Gutierrez, Luis V.#IL#4#DEM#2006#69910
Melichar, Ann#IL#4#REP#2006#11532
Emanuel, Rahm#IL#5#DEM#2006#114319
White, Kevin Edward#IL#5#REP#2006#32250
Houlihan, John#IL#5#WRI#2006#12
Roskam, Peter J.#IL#6#REP#2006#91382
Duckworth, L. Tammy#IL#6#DEM#2006#86572
Beard, Patricia Elaine#IL#6#WRI#2006#3
Davis, Danny K.#IL#7#DEM#2006#143071
Hutchinson, Charles#IL#7#REP#2006#21939
Seida, Lowell M.#IL#7#WRI#2006#1
Bean, Melissa#IL#8#DEM#2006#93355
McSweeney, David#IL#8#REP#2006#80720
Scheurer, Bill#IL#8#OTHER#2006#9312
Farnick, Jonathan#IL#8#WRI#2006#7
Schakowsky, Janice D.#IL#9#DEM#2006#122852
Shannon, Michael P.#IL#9#REP#2006#41858
Ribeiro, Simon M.#IL#9#OTHER#2006#3
Kirk, Mark Steven#IL#10#REP#2006#107929
Seals, Daniel J.#IL#10#DEM#2006#94278
Brumfield, Arthur C.#IL#10#WRI#2006#1
"""""""Weller, Gerald C. """"""""Jerry"""""""""""""""#IL#11#REP#2006#109009
Pavich, John#IL#11#DEM#2006#88846
Waikar, Alaka#IL#11#WRI#2006#1
Costello, Jerry F.#IL#12#DEM#2006#157802
Siglar, W. K.#IL#12#WRI#2006#7
Biggert, Judy#IL#13#REP#2006#119720
Shannon, Joseph#IL#13#DEM#2006#85507
Mastrogiovanni, Mark Alan#IL#13#WRI#2006#7
Hastert, J. Dennis#IL#14#REP#2006#117870
"""""""Laesch, Jonathan """"""""John"""""""""""""""#IL#14#DEM#2006#79274
Johnson, Timothy V.#IL#15#REP#2006#116810
Gill, David#IL#15#DEM#2006#86025
Manzullo, Donald A.#IL#16#REP#2006#125951
Auman, Richard D.#IL#16#DEM#2006#63627
Borling, General John#IL#16#WRI#2006#8523
Hare, Phil#IL#17#DEM#2006#115025
Zinga, Andrea#IL#17#REP#2006#86161
LaHood, Ray#IL#18#REP#2006#150194
Waterworth, Steve#IL#18#DEM#2006#73052
Shimkus, John M.#IL#19#REP#2006#143491
Stover, Danny L.#IL#19#DEM#2006#92861
Visclosky, Peter J.#IN#1#DEM#2006#104195
Leyva, Mark J.#IN#1#REP#2006#40146
Barman, Charles#IN#1#IND#2006#5266
Donnelly, Joe#IN#2#DEM#2006#103561
Chocola, J. Christopher#IN#2#REP#2006#88300
Souder, Mark E.#IN#3#REP#2006#95421
Hayhurst, Thomas E.#IN#3#DEM#2006#80357
Buyer, Steve#IN#4#REP#2006#111057
Sanders , David Avram#IN#4#DEM#2006#66986
Carr, Katherine Fox#IN#5#DEM#2006#64362
Burton, Dan#IN#5#REP#2006#133118
Sharlow, Sheri Conover#IN#5#LIB#2006#7431
Miller, John#IN#5#OTHER#2006#18
Pence, Mike#IN#6#REP#2006#115266
Welsh, Barry A.#IN#6#DEM#2006#76812
Carson, Julia M.#IN#7#DEM#2006#74750
Dickerson, Eric#IN#7#REP#2006#64304
Ellsworth, Brad#IN#8#DEM#2006#131019
Hostettler, John N.#IN#8#REP#2006#83704
Hill, Baron P.#IN#9#DEM#2006#110454
Sodrel, Michael E.#IN#9#REP#2006#100469
Mantooth, Donald W.#IN#9#OTHER#2006#33
Schansberg, D. Eric#IN#9#LIB#2006#9893
Braley, Bruce#IA#1#DEM#2006#114322
Whalen, Mike#IA#1#REP#2006#89729
Hill, James F.#IA#1#OTHER#2006#2201
Schoeman, Albert W.#IA#1#OTHER#2006#1226
Loebsack, David#IA#2#OTHER#2006#107683
Leach, James A.#IA#2#REP#2006#101707
Boswell, Leonard L.#IA#3#DEM#2006#115769
Lamberti, Jeff#IA#3#REP#2006#103722
Meyers, Helen#IA#3#OTHER#2006#3591
Latham, Tom#IA#4#REP#2006#121650
Spencer, Selden E.#IA#4#DEM#2006#90982
King, Steve#IA#5#REP#2006#105580
Schulte, Joyce#IA#5#DEM#2006#64181
Nielsen, Roy#IA#5#OTHER#2006#8159
Brodersen, Cheryl L.#IA#5#OTHER#2006#2479
Moran, Jerry#KS#1#REP#2006#156728
Doll, John#KS#1#DEM#2006#39781
Cain, Sylvester#KS#1#OTHER#2006#2869
Boyda, Nancy#KS#2#DEM#2006#114139
Ryun, Jim#KS#2#REP#2006#106329
Tucker, Roger D.#KS#2#OTHER#2006#5094
Moore, Dennis#KS#3#DEM#2006#153105
Ahner, Chuck#KS#3#REP#2006#79824
Conroy, Robert A.#KS#3#OTHER#2006#4051
Tiahrt, Todd#KS#4#REP#2006#116386
McGinn, Garth J.#KS#4#DEM#2006#62166
Holt, Joy R.#KS#4#OTHER#2006#4655
Whitfield, Ed#KY#1#REP#2006#123618
Barlow, Tom#KY#1#DEM#2006#83865
Lewis, Ron#KY#2#REP#2006#118548
Weaver, Mike#KY#2#DEM#2006#95415
Yarmuth, John#KY#3#DEM#2006#122489
Northup, Anne M.#KY#3#REP#2006#116568
Mancini, Donna Walker#KY#3#LIB#2006#2134
Parker, W. Ed#KY#3#OTHER#2006#774
Davis, Geoff#KY#4#REP#2006#105845
Lucas, Ken#KY#4#DEM#2006#88822
Houillion, Brian#KY#4#LIB#2006#10100
"""""""Rogers, Harold """"""""Hal"""""""""""""""#KY#5#REP#2006#147201
Stepp, Kenneth#KY#5#DEM#2006#52367
Chandler, Ben#KY#6#DEM#2006#158765
Ard, Paul#KY#6#LIB#2006#27015
"""""""Jindal,""""""""Bobby"""""""""""""""#LA#1#REP#2006#130508
Gereighty, David#LA#1#DEM#2006#10919
Tallitsch, Stacey#LA#1#DEM#2006#5025
Beary, Peter#LA#1#LIB#2006#1676
Jefferson, William J.#LA#2#DEM#2006#28283
Carter, Karen#LA#2#DEM#2006#20364
Shepherd, Derrick#LA#2#DEM#2006#16799
"""""""Lavigne, Joseph """"""""Joe"""""""""""""""#LA#2#REP#2006#12511
"""""""Carter, Troy """"""""C"""""""""""""""#LA#2#DEM#2006#11304
Bradley, Eric T.#LA#2#REP#2006#1159
Bartholomew, Regina#LA#2#DEM#2006#1125
Edwards, John#LA#2#DEM#2006#675
Barron, Scott#LA#2#DEM#2006#621
"""""""Kahn, Gregory W. """"""""Rhumbline"""""""""""""""#LA#2#LIB#2006#404
"""""""Mendoza, M.V. """"""""Vinny"""""""""""""""#LA#2#DEM#2006#402
"""""""von Uhde, Lawrence William """"""""Lance,"""""""" III"""""""#LA#2#REP#2006#258
"""""""Collins, Deven """"""""D.C."""""""""""""""#LA#2#DEM#2006#121
"""""""Melancon,""""""""Charlie"""""""""""""""#LA#3#DEM#2006#75023
Romero, Craig#LA#3#REP#2006#54950
"""""""Breech, Olangee """"""""OJ"""""""""""""""#LA#3#DEM#2006#4190
Blake, James Lee, Jr.#LA#3#LIB#2006#2168
"""""""McCrery,""""""""Jim"""""""""""""""#LA#4#REP#2006#77078
Cash, Artis R., Sr.#LA#4#DEM#2006#22757
Cox, Patti#LA#4#DEM#2006#17788
Kelley, Chester T.#LA#4#REP#2006#16649
Alexander, Rodney#LA#5#REP#2006#78211
Hearn, Gloria Williams#LA#5#DEM#2006#33233
Sanders, Brent#LA#5#LIB#2006#1876
Watts, John#LA#5#OTHER#2006#1262
Baker, Richard H.#LA#6#REP#2006#94658
Fontanesi, Richard M.#LA#6#LIB#2006#19648
Boustany, Charles W., Jr.#LA#7#REP#2006#113720
Stagg, Mike#LA#7#DEM#2006#47133
Allen, Thomas H.#ME#1#DEM#2006#170949
Curley, Darlene J.#ME#1#REP#2006#88009
Kamilewicz, Dexter J.#ME#1#OTHER#2006#22029
Michaud, Michael H.#ME#2#DEM#2006#179732
D'Amboise, Laurence S.#ME#2#REP#2006#75146
Gilchrest, Wayne T.#MD#1#REP#2006#185177
Corwin, Jim#MD#1#DEM#2006#83738
Ruppersberger, C. A. Dutch#MD#2#DEM#2006#135818
Mathis, Jimmy#MD#2#REP#2006#60195
Sarbanes, John P.#MD#3#DEM#2006#150142
White, John#MD#3#REP#2006#79174
McPeek, Charles Curtis, Sr.#MD#3#LIB#2006#4941
Wynn, Albert R.#MD#4#DEM#2006#141897
Starkman, Michael Moshe#MD#4#REP#2006#32792
Hoyer, Steny H.#MD#5#DEM#2006#168114
Warner, Steve#MD#5#GRE#2006#33464
Kuhnert, Peter#MD#5#WRI#2006#635
Bartlett, Roscoe G.#MD#6#REP#2006#141200
Duck, Andrew#MD#6#DEM#2006#92030
Kozak, Robert E.#MD#6#GRE#2006#6095
Cummings, Elijah#MD#7#DEM#2006#158830
Van Hollen, Chris#MD#8#DEM#2006#168872
Stein, Jeffrey M.#MD#8#REP#2006#48324
Giblin, Gerard P.#MD#8#GRE#2006#3298
Olver, John W.#MA#1#DEM#2006#158057
Szych, William H.#MA#1#OTHER#2006#48574
Neal, Richard E.#MA#2#DEM#2006#164939
McGovern, James P.#MA#3#DEM#2006#166973
Frank, Barney#MA#4#DEM#2006#176513
Meehan, Martin T.#MA#5#DEM#2006#159120
Tierney, John F.#MA#6#DEM#2006#168056
Barton, Richard W.#MA#6#REP#2006#72997
Markey, Edward J.#MA#7#DEM#2006#171902
Capuano, Michael E.#MA#8#DEM#2006#125515
Garza, Laura#MA#8#OTHER#2006#12449
Lynch, Stephen F.#MA#9#DEM#2006#169420
Robinson, Jack E.#MA#9#REP#2006#47114
Delahunt, William D.#MA#10#DEM#2006#171812
Beatty, Jeffrey K.#MA#10#REP#2006#78439
White, Peter A.#MA#10#IND#2006#16808
Stupak, Bart#MI#1#DEM#2006#180448
Hooper, Don#MI#1#REP#2006#72753
Warren, Joshua J.#MI#1#OTHER#2006#2278
Newland, David J.#MI#1#GRE#2006#2252
Proctor, Ken#MI#1#LIB#2006#2196
Hoekstra, Peter#MI#2#REP#2006#183006
Kotos, Kimon#MI#2#DEM#2006#86950
Graeser, Ronald E.#MI#2#OTHER#2006#2720
Van Til, Steven#MI#2#LIB#2006#2718
Ehlers, Vernon J.#MI#3#REP#2006#171212
