name#state#district#parties#year#votes
Nunes, Devin G.#CA#21#Republican#2008#143498
Johnson, Larry#CA#21#Democratic#2008#66317
McCarthy, Kevin#CA#22#Republican#2008#224549
Capps, Lois#CA#23#Democratic#2008#171403
Kokkonen, Matt T.#CA#23#Republican#2008#80385
Gallegly, Elton#CA#24#Republican#2008#174492
Jorgensen, Marta Ann#CA#24#Democratic#2008#125560
"McKeon, Howard P. ""Buck"""#CA#25#Republican#2008#144660
Conaway, Jackie#CA#25#Democratic#2008#105929
Dreier, David#CA#26#Republican#2008#140615
Warner, Russ#CA#26#Democratic#2008#108039
Brown, Ted#CA#26#Libertarian#2008#18476
Sherman, Brad#CA#27#Democratic#2008#145812
Singh, Navraj#CA#27#Republican#2008#52852
Denton, Tim#CA#27#Libertarian#2008#14171
Berman, Howard L.#CA#28#Democratic#2008#137471
Koch, Michael J.#CA#28#Write-In#2008#150
Schiff, Adam B.#CA#29#Democratic#2008#146198
Hahn, Charles#CA#29#Republican#2008#56727
Pyeatt, Alan#CA#29#Libertarian#2008#9219
Waxman, Henry A.#CA#30#Democratic#2008#242792
Becerra, Xavier#CA#31#Democratic#2008#110955
Solis, Hilda L.#CA#32#Democratic#2008#130142
Osunwa, Innocent O.#CA#32#Write-In#2008#8
Watson, Diane E.#CA#33#Democratic#2008#186924
Crowley, David C., II#CA#33#Republican#2008#26536
Roybal-Allard, Lucille#CA#34#Democratic#2008#98503
Balding, Christopher#CA#34#Republican#2008#29266
Waters, Maxine#CA#35#Democratic#2008#150778
Hayes, Ted#CA#35#Republican#2008#24169
Peters, Herb#CA#35#Libertarian#2008#7632
Harman, Jane#CA#36#Democratic#2008#171948
Gibson, Brian#CA#36#Republican#2008#78543
Richardson, Laura#CA#37#Democratic#2008#131342
Davis, Lee#CA#37#Democratic,Write-In#2008#10
"Dibs, Nicholas ""Nick"""#CA#37#Independent#2008#42774
Mathews, Peter#CA#37#Write-In#2008#600
Pouesi, June Viena#CA#37#Write-In#2008#526
Napolitano, Grace F.#CA#38#Democratic#2008#130211
Agrella, Christopher M.#CA#38#Libertarian#2008#29113
Sanchez, Linda T.#CA#39#Democratic#2008#125289
Lenning, Diane A.#CA#39#Republican#2008#54533
Royce, Ed#CA#40#Republican#2008#144923
Avalos, Christina#CA#40#Democratic#2008#86772
Lewis, Jerry#CA#41#Republican#2008#159486
Prince, Tim#CA#41#Democratic#2008#99214
Miller, Gary G.#CA#42#Republican#2008#158404
"Chau, Edwin ""Ed"""#CA#42#Democratic#2008#104909
Baca, Joe#CA#43#Democratic#2008#108259
Roberts, John#CA#43#Republican#2008#48312
Calvert, Ken#CA#44#Republican#2008#129937
Hedrick, Bill#CA#44#Democratic#2008#123890
Mack, Mary Bono#CA#45#Republican#2008#155166
Bornstein, Julie#CA#45#Democratic#2008#111026
Rohrabacher, Dana#CA#46#Republican#2008#149818
Cook, Debbie#CA#46#Democratic#2008#122891
Lash, Thomas#CA#46#Green#2008#8257
Gasteiger, Ernst P.#CA#46#Libertarian#2008#4311
Sanchez, Loretta#CA#47#Democratic#2008#85878
"Avila, Rosemarie ""Rosie"""#CA#47#Republican#2008#31432
Lauten, Robert#CA#47#American Independent#2008#6274
Campbell, John#CA#48#Republican#2008#171658
Young, Steve#CA#48#Democratic#2008#125537
Patterson, Don#CA#48#Libertarian#2008#11507
Issa, Darrell#CA#49#Republican#2008#140300
Hamilton, Robert#CA#49#Democratic#2008#90138
Grossmith, Lars R.#CA#49#Libertarian#2008#10232
Bilbray, Brian#CA#50#Republican#2008#157502
Leibham, Nick#CA#50#Democratic#2008#141635
Dunlap, Wayne#CA#50#Libertarian#2008#14365
Filner, Bob#CA#51#Democratic#2008#148281
Joy, David Lee#CA#51#Republican#2008#49345
"Litwin, Dan ""Frodo"""#CA#51#Libertarian#2008#6199
Hunter, Duncan D.#CA#52#Republican#2008#160724
Lumpkin, Mike#CA#52#Democratic#2008#111051
Benoit, Michael#CA#52#Libertarian#2008#13316
Ryan, Joseph M.#CA#52#Write-In#2008#47
Davis, Susan A.#CA#53#Democratic#2008#161315
Crimmins, Michael#CA#53#Republican#2008#64658
Teyssier, Edward M.#CA#53#Libertarian#2008#9569
DeGette, Diana#CO#1#Democratic#2008#203756
Lilly, George C.#CO#1#Republican#2008#67346
Buchanan, Martin L.#CO#1#Libertarian#2008#12136
Swing, Gary#CO#1#Write-In#2008#11
Polis, Jared#CO#2#Democratic#2008#215602
Starin, Scott#CO#2#Republican#2008#116619
Calhoun, J. A.#CO#2#Green#2008#10031
"Hammons, William Robert ""Bill"""#CO#2#Unity Party of America#2008#2176
Salazar, John T.#CO#3#Democratic#2008#203457
Wolf, Wayne#CO#3#Republican#2008#126762
Markey, Betsy#CO#4#Democratic#2008#187348
Musgrave, Marilyn N.#CO#4#Republican#2008#146030
Bidlack, Hal#CO#5#Democratic#2008#113027
Lamborn, Doug#CO#5#Republican#2008#183179
Scott, Brian X.#CO#5#American Constitution Party#2008#8894
Hand, Rich#CO#5#Write-In#2008#45
Coffman, Mike#CO#6#Republican#2008#250877
Eng, Hank#CO#6#Democratic#2008#162641
Perlmutter, Ed#CO#7#Democratic#2008#173937
Lerew, John W.#CO#7#Republican#2008#100057
Larson, John B.#CT#1#Democratic,Working Families#2008#211493
Visconti, Joe#CT#1#Republican#2008#76860
Fournier, Stephen E.D.#CT#1#Green#2008#7201
Coleman, Matthew#CT#1#Write-In#2008#3
Courtney, Joe#CT#2#Democratic,Working Families#2008#212148
Sullivan, Sean#CT#2#Republican#2008#104574
Deshefy, G. Scott#CT#2#Green#2008#6300
Vachon, Todd#CT#2#Write-In#2008#19
DeLauro, Rosa L.#CT#3#Democratic,Working Families#2008#230172
Itshaky, Bo#CT#3#Republican#2008#58583
Ferrucci, Ralph A.#CT#3#Green#2008#8613
Himes, Jim#CT#4#Democratic,Working Families#2008#158475
Shays, Christopher#CT#4#Republican#2008#146854
Carrano, Michael Anthony#CT#4#Libertarian#2008#2049
Duffee, Richard Z.#CT#4#Green#2008#1388
Flanagan, Eugene#CT#4#Write-In#2008#10
Murphy, Chris#CT#5#Democratic,Working Families#2008#179327
Cappiello, David J.#CT#5#Republican#2008#117914
Winn, Thomas L.#CT#5#Independent#2008#3082
Burbank, Harold H., II#CT#5#Green#2008#2324
Gengarelly, Walter#CT#5#Write-In#2008#10
Castle, Michael N.#DE#0#Republican#2008#235437
Hartley-Nagle, Karen#DE#0#Democratic#2008#146434
Parks, Mark Anthony#DE#0#Libertarian#2008#3586
Miller, Jeff#FL#1#Republican#2008#232559
Bryan, James Jim#FL#1#Democratic#2008#98797
Boyd, Allen#FL#2#Democratic#2008#216804
Mulligan, Mark#FL#2#Republican#2008#133404
Ortiz, Robert#FL#2#Write-In#2008#159
Brown, Corrine#FL#3#Democratic#2008#Unopposed
Crenshaw, Ander#FL#4#Republican#2008#224112
McGovern, Jay#FL#4#Democratic#2008#119330
"Brown-Waite, Virginia ""Ginny"""#FL#5#Republican#2008#265186
Russell, John#FL#5#Democratic#2008#168446
Stearns, Clifford B. (Cliff)#FL#6#Republican#2008#228302
Cunha, Tim#FL#6#Democratic#2008#146655
Mica, John L.#FL#7#Republican#2008#238721
Armitage, Faye#FL#7#Democratic#2008#146292
Grayson, Alan#FL#8#Democratic#2008#172854
Keller, Ric#FL#8#Republican#2008#159490
Bilirakis, Gus Michael#FL#9#Republican#2008#216591
Mitchell, Bill#FL#9#Democratic#2008#126346
Kalimnios, John (Johnny K.)#FL#9#No Party Affiliation#2008#3394
Emmons, Richard O.#FL#9#Term Limits for the United States Congress Party#2008#2042
Pasayan, Andrew#FL#9#Write-In#2008#5
Young, C. W. Bill#FL#10#Republican#2008#182781
Hackworth, Bob#FL#10#Democratic#2008#118430
Callahan, Don#FL#10#Write-In#2008#9
Castor, Kathy#FL#11#Democratic#2008#184106
Adams, Eddie, Jr.#FL#11#Republican#2008#72825
Putnam, Adam H.#FL#12#Republican#2008#185698
Tudor, Doug#FL#12#Democratic#2008#137465
Buchanan, Vern#FL#13#Republican#2008#204382
Jennings, Christine#FL#13#Democratic#2008#137967
Schneider, Jan#FL#13#No Party Affiliation#2008#20289
Baldauf, Don#FL#13#No Party Affiliation#2008#5358
Mack, Connie#FL#14#Republican#2008#224602
Neeld, Robert M.#FL#14#Democratic#2008#93590
Saunders, Burt#FL#14#No Party Affiliation#2008#54750
George, Jeff#FL#14#No Party Affiliation#2008#4949
Posey, Bill#FL#15#Republican#2008#192151
Blythe, Stephen#FL#15#Democratic#2008#151951
Zilaitis, Frank#FL#15#No Party Affiliation#2008#14274
Lowing, Trevor#FL#15#No Party Affiliation#2008#3495
Rooney, Tom#FL#16#Republican#2008#209874
Mahoney, Tim#FL#16#Democratic#2008#139373
Meek, Kendrick B.#FL#17#Democratic#2008#Unopposed
Ros-Lehtinen, Ileana#FL#18#Republican#2008#140617
Taddeo, Annette#FL#18#Democratic#2008#102372
Wexler, Robert#FL#19#Democratic#2008#202465
Lynch, Edward J.#FL#19#Republican#2008#83357
Graber, Ben#FL#19#No Party Affiliation#2008#20214
Schultz, Debbie Wasserman#FL#20#Democratic#2008#202832
Hostetter, Margaret#FL#20#No Party Affiliation#2008#58958
Luzietti, Marc#FL#20#Write-In#2008#9
Diaz-Balart, Lincoln#FL#21#Republican#2008#137226
Martinez, Raul L.#FL#21#Democratic#2008#99776
Klein, Ron#FL#22#Democratic#2008#169041
West, Allen#FL#22#Republican#2008#140104
Blass, Piotr#FL#22#Write-In#2008#6
Hastings, Alcee L.#FL#23#Democratic#2008#172835
Thorpe, Marion D., Jr.#FL#23#Republican#2008#37431
Cook, April#FL#23#Write-In#2008#40
Kosmas, Suzanne M.#FL#24#Democratic#2008#211284
Feeney, Tom#FL#24#Republican#2008#151863
Bhola, Gaurav#FL#24#No Party Affiliation#2008#6223
Diaz-Balart, Mario#FL#25#Republican#2008#130891
Garcia, Joe#FL#25#Democratic#2008#115820
Kingston, Jack#GA#1#Republican#2008#165890
Gillespie, Bill#GA#1#Democratic#2008#83444
Bishop, Sanford#GA#2#Democratic#2008#158435
Ferrell, Lee#GA#2#Republican#2008#71351
Westmoreland, Lynn#GA#3#Republican#2008#225055
Camp, Stephen#GA#3#Democratic#2008#117522
VanPelt, Loretta#GA#3#Write-In#2008#3
"Johnson, Henry C. ""Hank,"" Jr."#GA#4#Democratic#2008#224494
Collins, Loren Christopher#GA#4#Write-In#2008#159
Coffield, Faye#GA#4#Write-In#2008#35
Perasso, Jacob#GA#4#Write-In#2008#6
Lewis, John#GA#5#Democratic#2008#231368
Kash, Shira#GA#5#Write-In#2008#81
Fitzmaurice, Jeanne#GA#5#Write-In#2008#25
Price, Tom#GA#6#Republican#2008#231520
Jones, Bill#GA#6#Democratic#2008#106551
Linder, John#GA#7#Republican#2008#209354
Heckman, Doug#GA#7#Democratic#2008#128159
Marshall, Jim#GA#8#Democratic#2008#157241
Goddard, Rick#GA#8#Republican#2008#117446
Deal, Nathan#GA#9#Republican#2008#217493
Scott, Jeff#GA#9#Democratic#2008#70537
Broun, Paul#GA#10#Republican#2008#177265
Saxon, Bobby#GA#10#Democratic#2008#114638
Gingrey, Phil#GA#11#Republican#2008#204082
"Gammon, Hugh ""Bud"""#GA#11#Democratic#2008#95220
Barrow, John#GA#12#Democratic#2008#164562
Stone, John#GA#12#Republican#2008#84773
Scott, David#GA#13#Democratic#2008#205919
Honeycutt, Deborah#GA#13#Republican#2008#92320
Abercrombie, Neil#HI#1#Democratic#2008#154208
Tataii, Steve#HI#1#Republican#2008#38115
Zhao, Li#HI#1#Libertarian#2008#7594
Hirono, Mazie#HI#2#Democratic#2008#165748
Evans, Roger B.#HI#2#Republican#2008#44425
Stenshol, Shaun#HI#2#Independent#2008#4042
Mallan, Lloyd J. (Jeff)#HI#2#Libertarian#2008#3699
Minnick, Walt#ID#1#Democratic#2008#175898
Sali, Bill#ID#1#Republican#2008#171687
Simpson, Mike#ID#2#Republican#2008#205777
Holmes, Deborah#ID#2#Democratic#2008#83878
Nemitz, Gregory#ID#2#Write-In#2008#612
Rush, Bobby L.#IL#1#Democratic#2008#233036
Members, Antoine#IL#1#Republican#2008#38361
Jackson, Jesse L., Jr.#IL#2#Democratic#2008#251052
Williams, Anthony W.#IL#2#Republican#2008#29721
Peoples, Nathan#IL#2#Write-In#2008#3
Lipinski, Daniel William#IL#3#Democratic#2008#172581
Hawkins, Michael#IL#3#Republican#2008#50336
Pohlen, Jerome#IL#3#Green#2008#12607
Gutierrez, Luis V.#IL#4#Democratic#2008#112529
Cunningham, Daniel#IL#4#Republican#2008#16024
López, Omar N.#IL#4#Green#2008#11053
Emanuel, Rahm#IL#5#Democratic#2008#170728
Hanson, Tom#IL#5#Republican#2008#50881
Augustson, Alan#IL#5#Green#2008#9283
Roskam, Peter J.#IL#6#Republican#2008#147906
Morgenthaler, Jill#IL#6#Democratic#2008#109007
Davis, Danny K.#IL#7#Democratic#2008#235343
Miller, Steve#IL#7#Republican#2008#41474
Bean, Melissa#IL#8#Democratic#2008#179444
Greenberg, Steve#IL#8#Republican#2008#116081
Schakowsky, Janice D.#IL#9#Democratic#2008#181948
Younan, Michael Benjamin#IL#9#Republican#2008#53593
Shanfield, Morris#IL#9#Green#2008#8140
Atanus, Susanne#IL#9#Write-In#2008#13
Kirk, Mark Steven#IL#10#Republican#2008#153082
Seals, Daniel J.#IL#10#Democratic#2008#138176
"Halvorson, Deborah ""Debbie"""#IL#11#Democratic#2008#185652
Ozinga, Marty#IL#11#Republican#2008#109608
Wallace, Jason M.#IL#11#Green#2008#22635
Costello, Jerry F.#IL#12#Democratic#2008#212891
Richardson, Timmy Jay, Jr.#IL#12#Republican#2008#74382
Jennings, Rodger W.#IL#12#Green#2008#10907
Wiegand, Harold#IL#12#Write-In#2008#1
Biggert, Judy#IL#13#Republican#2008#180888
Harper, Scott#IL#13#Democratic#2008#147430
Alesch, Steve#IL#13#Green#2008#9402
Knapp, Theodore#IL#13#Write-In#2008#51
Foster, Bill#IL#14#Democratic#2008#185404
Oberweis, Jim#IL#14#Republican#2008#135653
Johnson, Timothy V.#IL#15#Republican#2008#187121
Cox, Steve#IL#15#Democratic#2008#104393
Manzullo, Donald A.#IL#16#Republican#2008#190039
Abboud, Robert G.#IL#16#Democratic#2008#112648
Summers, Scott#IL#16#Green#2008#9533
Hare, Phil#IL#17#Democratic#2008#220961
Lioen, Mark Edward#IL#17#Write-In#2008#517
Schock, Aaron#IL#18#Republican#2008#182589
Callahan, Colleen#IL#18#Democratic#2008#117642
Schafer, Sheldon#IL#18#Green#2008#9857
Shimkus, John M.#IL#19#Republican#2008#203434
Davis, Daniel#IL#19#Democratic#2008#105338
Dennis, Troy#IL#19#Green#2008#6817
Visclosky, Peter J.#IN#1#Democratic#2008#199954
Leyva, Mark#IN#1#Republican#2008#76647
Duensing, Jeff#IN#1#Libertarian#2008#5421
Donnelly, Joe#IN#2#Democratic#2008#187416
Puckett, Luke#IN#2#Republican#2008#84455
Vogel, Mark#IN#2#Libertarian#2008#7475
Souder, Mark Edward#IN#3#Republican#2008#155693
Montagano, Michael A. (Mike)#IN#3#Democratic#2008#112309
Larsen, William R.#IN#3#Libertarian#2008#14877
Buyer, Steve#IN#4#Republican#2008#192526
Ackerson, Nels#IN#4#Democratic#2008#129038
Burton, Dan#IN#5#Republican#2008#234705
Ruley, Mary Etta#IN#5#Democratic#2008#123357
Pence, Mike#IN#6#Republican#2008#180608
Welsh, Barry A.#IN#6#Democratic#2008#94265
Holland, George T.#IN#6#Libertarian#2008#7539
Carson, Andre D.#IN#7#Democratic#2008#172650
Campo, Gabrielle#IN#7#Republican#2008#92645
Suits, Delbert#IN#7#Write-In#2008#4
Ellsworth, Brad#IN#8#Democratic#2008#188693
Goode, Greg#IN#8#Republican#2008#102769
Hill, Baron P.#IN#9#Democratic#2008#181281
Sodrel, Mike#IN#9#Republican#2008#120529
Schansberg, D. Eric#IN#9#Libertarian#2008#11994
Braley, Bruce#IA#1#Democratic#2008#186991
Hartusch, David#IA#1#Republican#2008#102439
Loebsack, Dave#IA#2#Democratic#2008#175218
Miller-Meeks, Mariannette#IA#2#Republican#2008#118778
Barth, Wendy#IA#2#Green#2008#6664
White, Brian#IA#2#Nominated by Petition#2008#5437
Boswell, Leonard L.#IA#3#Democratic#2008#176904
Schmett, Kim#IA#3#Republican#2008#132136
Forrestal, Frank V.#IA#3#Socialist Workers Party#2008#4599
Latham, Tom#IA#4#Republican#2008#185458
Greenwald, Becky#IA#4#Democratic#2008#120746
King, Steve#IA#5#Republican#2008#159430
Hubler, Rob#IA#5#Democratic#2008#99601
Vara, Victor#IA#5#Independent#2008#7406
Moran, Jerry#KS#1#Republican#2008#214549
Bordonaro, James#KS#1#Democratic#2008#34771
Burton, Kathleen M.#KS#1#Reform#2008#7145
Warner, Jack#KS#1#Libertarian#2008#5562
Jenkins, Lynn#KS#2#Republican#2008#155532
Boyda, Nancy E.#KS#2#Democratic#2008#142013
Martin, Leslie S.#KS#2#Reform#2008#5080
Garrard, Robert#KS#2#Libertarian#2008#4683
Moore, Dennis#KS#3#Democratic#2008#202541
Jordan, Nick#KS#3#Republican#2008#142307
Bellis, Joe#KS#3#Libertarian#2008#10073
Tucker, Roger D.#KS#3#Reform#2008#3937
Tiahrt, Todd#KS#4#Republican#2008#177617
Betts, Donald, Jr.#KS#4#Democratic#2008#90706
Ducey, Susan G.#KS#4#Reform#2008#6441
Rosile, Steven A.#KS#4#Libertarian#2008#5345
Whitfield, Edward#KY#1#Republican#2008#178107
Ryan, Heather A.#KY#1#Democratic#2008#98674
Hatchett, Charles K.#KY#1#Write-In#2008#5
Guthrie, S. Brett#KY#2#Republican#2008#158936
Boswell, David E.#KY#2#Democratic#2008#143379
Yarmuth, John#KY#3#Democratic#2008#203843
Northup, Anne M.#KY#3#Republican#2008#139527
Davis, Geoff#KY#4#Republican#2008#190210
Kelley, Michael#KY#4#Democratic#2008#111549
"Rogers, Harold ""Hal"""#KY#5#Republican#2008#177024
Holbert, Jim#KY#5#Independent#2008#33444
Chandler, Ben#KY#6#Democratic#2008#203764
Larson, Jon#KY#6#Republican#2008#111378
"Scalise,""Steve"""#LA#1#Republican#2008#189168
"Harlan,""Jim"""#LA#1#Democratic#2008#98839
"Cao, Anh ""Joseph"""#LA#2#Republican#2008#33132
Jefferson, William J.#LA#2#Democratic#2008#31318
Rahim, Malik#LA#2#Green#2008#1883
Kahn, Gregory W.#LA#2#Libertarian#2008#549
"Melancon,""Charlie"""#LA#3#Democratic#2008#Unopposed
Fleming, John#LA#4#Republican#2008#44501
Carmouche, Paul J.#LA#4#Democratic#2008#44151
"Kelley, Chester T. ""Catfish"""#LA#4#No Party Affiliation#2008#3245
Bowen, Gerard J.#LA#4#Other#2008#675
Alexander, Rodney#LA#5#Republican#2008#Unopposed
"Cassidy, William ""Bill"""#LA#6#Republican#2008#150332
"Cazayoux,""Don"""#LA#6#Democratic#2008#125886
Jackson, Michael#LA#6#No Party Affiliation#2008#36198
Boustany, Charles W., Jr.#LA#7#Republican#2008#177173
"Cravins, Donald ""Don,"" Jr."#LA#7#Democratic#2008#98280
Vidrine, Peter#LA#7#Other#2008#10846
Pingree, Chellie#ME#1#Democratic#2008#205629
Summers, Charles E.#ME#1#Republican#2008#168930
Michaud, Michael H.#ME#2#Democratic#2008#226274
Frary, John N.#ME#2#Republican#2008#109268
Kratovil, Frank M., Jr.#MD#1#Democratic#2008#177065
Harris, Andy#MD#1#Republican#2008#174213
Davis, Richard James#MD#1#Libertarian#2008#8873
Ruppersberger, C. A. Dutch#MD#2#Democratic#2008#198578
Matthews, Richard Pryce#MD#2#Republican#2008#68561
Gaztanaga, Lorenzo#MD#2#Libertarian#2008#8786
Sarbanes, John P.#MD#3#Democratic#2008#203711
"Harris, Thomas E. ""Pinkston"""#MD#3#Republican#2008#87971
Edwards, Donna#MD#4#Democratic#2008#258704
James, Peter#MD#4#Republican#2008#38739
Broadus, Robert#MD#4#Republican,Write-In#2008#48
Lincecum, Thibeaux#MD#4#Libertarian#2008#3384
Schulin, Steve#MD#4#Write-In#2008#75
Jackson, Darryn O'Shea, Sr.#MD#4#Write-In#2008#28
Hoyer, Steny H.#MD#5#Democratic#2008#253854
Bailey, Collins#MD#5#Republican#2008#82631
Nicholas, Darlene H.#MD#5#Libertarian#2008#7829
Bartlett, Roscoe#MD#6#Republican#2008#190926
Dougherty, Jennifer P.#MD#6#Democratic#2008#128207
Hoover, Gary W., Sr.#MD#6#Libertarian#2008#11060
Cummings, Elijah#MD#7#Democratic#2008#227379
Smith, Charles U.#MD#7#Democratic,Write-In#2008#8
Hargadon, Michael T.#MD#7#Republican#2008#53147
Bly, Ray#MD#7#Republican,Write-In#2008#13
Owens-Bey, Ronald M.#MD#7#Libertarian#2008#5214
Van Hollen, Chris#MD#8#Democratic#2008#229740
Vollmer, Deborah A.#MD#8#Democratic,Write-In#2008#188
Young, Lih#MD#8#Democratic,Write-In#2008#28
Hudson, Steve#MD#8#Republican#2008#66351
Clark, Gordon#MD#8#Green#2008#6828
Thomas, Ian#MD#8#Libertarian#2008#2562
Olver, John W.#MA#1#Democratic#2008#215696
Bech, Nathan A.#MA#1#Republican#2008#80067
Neal, Richard E.#MA#2#Democratic#2008#234369
McGovern, James P.#MA#3#Democratic#2008#227619
Frank, Barney#MA#4#Democratic#2008#203032
Sholley, Earl H.#MA#4#Republican#2008#75571
Allen, Susan#MA#4#Independent#2008#19848
Tsongas, Nicola S.#MA#5#Democratic#2008#225947
Tierney, John F.#MA#6#Democratic#2008#226216
Baker, Richard A.#MA#6#Republican#2008#94845
Markey, Edward J.#MA#7#Democratic#2008#212304
Cunningham, John#MA#7#Republican#2008#67978
Capuano, Michael E.#MA#8#Democratic#2008#185530
Lynch, Stephen F.#MA#9#Democratic#2008#242166
Delahunt, William D.#MA#10#Democratic#2008#272899
Stupak, Bart#MI#1#Democratic#2008#213216
Casperson, Tom#MI#1#Republican#2008#107340
Hooper, Don#MI#1#Republican,Write-In#2008#8
Treacy, Jean#MI#1#Green#2008#2669
Grow, Daniel W.#MI#1#Libertarian#2008#2533
Warren, Joshua J.#MI#1#U.S. Taxpayers#2008#2070
Hoekstra, Peter#MI#2#Republican#2008#214100
Johnson, Fred#MI#2#Democratic#2008#119506
Johnson, Dan#MI#2#Libertarian#2008#5496
Graeser, Ronald E.#MI#2#U.S. Taxpayers#2008#4200
Bailey, William#MI#2#Write-In#2008#7
Ehlers, Vernon J.#MI#3#Republican#2008#203799
Sanchez, Henry#MI#3#Democratic#2008#117961
Haas, Erwin J.#MI#3#Libertarian#2008#11758
Camp, Dave#MI#4#Republican#2008#204259
Concannon, Andrew D.#MI#4#Democratic#2008#117665
Emerick, John#MI#4#U.S. Taxpayers#2008#4055
Hren, Allitta#MI#4#Libertarian#2008#3785
Kildee, Dale E.#MI#5#Democratic#2008#221841
Sawicki, Matt#MI#5#Republican#2008#85017
Schwartz, Leonard#MI#5#Libertarian#2008#4293
Mathenia, Ken#MI#5#Green#2008#4144
Upton, Fred#MI#6#Republican#2008#188157
Cooney, Don#MI#6#Democratic#2008#123257
Merle, Greg#MI#6#Libertarian#2008#4720
Pinkney, Edward#MI#6#Green#2008#3512
Schauer, Mark#MI#7#Democratic#2008#157213
Renier, Sharon Marie#MI#7#Democratic,Write-In#2008#89
Walberg, Tim#MI#7#Republican#2008#149781
Meadows, Lynn#MI#7#Green#2008#9528
Proctor, Ken#MI#7#Libertarian#2008#5675
Rogers, Mike#MI#8#Republican#2008#204408
Alexander, Robert D.#MI#8#Democratic#2008#145491
White, Will Tyler#MI#8#Libertarian#2008#4373
Stuttman, Aaron#MI#8#Green#2008#3836
Zimmer, George M.#MI#8#U.S. Taxpayers#2008#3499
Peters, Gary#MI#9#Democratic#2008#183311
Knollenberg, Joe#MI#9#Republican#2008#150035
Kevorkian, Jack#MI#9#No Party Affiliation#2008#8987
Goodman, Adam#MI#9#Libertarian#2008#4893
Campbell, Douglas#MI#9#Green#2008#4737
Miller, Candice S.#MI#10#Republican#2008#230471
Denison, Robert#MI#10#Democratic#2008#108354
Stephenson, Neil Kiernan#MI#10#Libertarian#2008#4632
Caveny, Candace R.#MI#10#Green#2008#4146
McCotter, Thaddeus G.#MI#11#Republican#2008#177461
Larkin, Joseph W.#MI#11#Democratic#2008#156625
Tatar, John J.#MI#11#Libertarian#2008#6001
Shelley, Erik#MI#11#Green#2008#5072
Dashairya, Bhagwan#MI#11#Write-In#2008#23
Levin, Sander#MI#12#Democratic#2008#225094
Copple, Bert#MI#12#Republican#2008#74565
Vico, John#MI#12#Libertarian#2008#4767
Townsend, Les#MI#12#U.S. Taxpayers#2008#4076
Opalicky, William J.#MI#12#Green#2008#3842
Kilpatrick, Carolyn Cheeks#MI#13#Democratic#2008#167481
Gubics, Edward J.#MI#13#Republican#2008#43098
Corsetti, George L.#MI#13#Green#2008#9579
Creswell, Gregory#MI#13#Libertarian#2008#5764
Conyers, John, Jr.#MI#14#Democratic#2008#227841
Secula, Richard J.#MI#14#Libertarian#2008#10732
Shabazz, Clyde K.#MI#14#Green#2008#8015
Dingell, John D.#MI#15#Democratic#2008#231784
Lynch, John J.#MI#15#Republican#2008#81802
Smith, Aimee#MI#15#Green#2008#7082
Stempfle, Gregory Scott#MI#15#Libertarian#2008#4002
Wagner, James H.#MI#15#U.S. Taxpayers#2008#3157
Walz, Tim#MN#1#Democratic-Farmer Labor#2008#207753
Davis, Brian J.#MN#1#Republican#2008#109453
Mikkelson, Gregory#MN#1#Independence#2008#14904
Kline, John#MN#2#Republican#2008#220924
Sarvi, Steve#MN#2#Democratic-Farmer Labor#2008#164093
Masrud, Kevin#MN#2#Write-In#2008#41
Walor, Curt#MN#2#Write-In#2008#1
Paulsen, Erik#MN#3#Republican#2008#178932
Madia, Ashwin#MN#3#Democratic-Farmer Labor#2008#150787
Dillon, David#MN#3#Independence#2008#38970
Swarm, Harley, Jr.#MN#3#Write-In#2008#9
McCollum, Betty#MN#4#Democratic-Farmer Labor#2008#216267
Matthews, Ed#MN#4#Republican#2008#98936
Garlan, Amber#MN#4#Write-In#2008#1
Ellison, Keith#MN#5#Democratic-Farmer Labor#2008#228776
Davis White, Barb#MN#5#Republican#2008#71020
McGaughey, Bill#MN#5#Independence#2008#22318
Bachmann, Michele#MN#6#Republican#2008#187817
Immelman, Aubrey#MN#6#Republican,Write-In#2008#20
Tinklenberg, El#MN#6#Democratic-Farmer Labor#2008#175786
Anderson, Bob#MN#6#Independence#2008#40643
Peterson, Collin C.#MN#7#Democratic-Farmer Labor#2008#227187
Menze, Glen#MN#7#Republican#2008#87062
Oberstar, James L.#MN#8#Democratic-Farmer Labor#2008#241831
Cummins, Michael#MN#8#Republican#2008#114871
Childers, Travis W.#MS#1#Democratic#2008#185959
Davis, Greg#MS#1#Republican#2008#149818
Pang, Wally#MS#1#Independent#2008#3736
Wages, John M., Jr.#MS#1#Green#2008#1876
Thompson, Bennie G.#MS#2#Democratic#2008#201606
Cook, Richard#MS#2#Republican#2008#90364
Harper, Gregg#MS#3#Republican#2008#213171
Gill, Joel L.#MS#3#Democratic#2008#127698
Taylor, Gene#MS#4#Democratic#2008#216542
McCay, John, III#MS#4#Republican#2008#73977
Clay, Wm. Lacy#MO#1#Democratic#2008#242570
Cunningham, Robb E.#MO#1#Libertarian#2008#36700
Akin, Todd#MO#2#Republican#2008#232276
Haas, William C. (Bill)#MO#2#Democratic#2008#132068
Knapp, Thomas L.#MO#2#Libertarian#2008#8628
Johnson, Damien#MO#2#Write-In#2008#7
Carnahan, Russ#MO#3#Democratic#2008#202470
Sander, Chris#MO#3#Republican#2008#92759
Babcock, Kevin C.#MO#3#Libertarian#2008#5518
