Bonner, Jo#AL#1#REP#2010#1
Davis, Lincoln#TN#4#DEM#2010#0.587562299
Curtis, Paul H.#TN#4#IND#2010#0.034354797
York, Gerald#TN#4#IND#2010#0.034354797
Gray, James#TN#4#IND#2010#0.034354797
Johnson, Richard S.#TN#4#IND#2010#0.034354797
Cooper, Jim#TN#5#DEM#2010#0.658438618
Hall, David#TN#5#REP#2010#0.310124745
Collings, Stephen W.#TN#5#IND#2010#0.031422124
"""Smith, John """"Big John"""#TN#5#IND#2010#0.031422124
Miller, Jackie#TN#5#IND#2010#0.031422124
Miglietta, John P.#TN#5#IND#2010#0.031422124
Crook, Bill#TN#5#IND#2010#0.031422124
Whitfield, James G., II#TN#5#IND#2010#0.031422124
Moore, Joe D., Jr.#TN#5#IND#2010#0.031422124
Taylor, Clark#TN#5#IND#2010#0.031422124
Black, Diane#TN#6#REP#2010#0
Carter, Brett#TN#6#DEM#2010#0.744226673
Boyd, Jim#TN#6#IND#2010#0.255773327
Purcell, David#TN#6#IND#2010#0.255773327
Hay, Tommy N.#TN#6#IND#2010#0.255773327
Gore, Brandon E.#TN#6#IND#2010#0.255773327
Sprague, Stephen R.#TN#6#IND#2010#0.255773327
Blackburn, Marsha#TN#7#REP#2010#0.685847369
Rabidoux, Greg#TN#7#DEM#2010#0.314152631
Stone, J. W. (Bill)#TN#7#IND#2010#0
Fincher, Stephen Lee#TN#8#REP#2010#0
Hart, James#TN#8#OTHER#2010#0.000299137
Herron, Roy#TN#8#DEM#2010#0.999700863
Janes, Donn#TN#8#IND#2010#0
Rawles, Mark J.#TN#8#IND#2010#0
Cohen, Steve#TN#9#DEM#2010#0.878540936
Bergmann, Charlotte#TN#9#REP#2010#0
Sullivan, Sandra#TN#9#IND#2010#0.121459065
Steele, Perry#TN#9#IND#2010#0.121459065
Gohmert, Louie#TX#1#REP#2010#0.87576103
Parkes, Charles F., III#TX#1#LIB#2010#0
Poe, Ted#TX#2#REP#2010#0.889225753
Smith, David W.#TX#2#LIB#2010#0.110774247
Johnson, Sam#TX#3#REP#2010#0.597453312
Lingenfelder, John#TX#3#DEM#2010#0.38033403
Claytor, Christopher J.#TX#3#LIB#2010#0.022212658
Pierce, Harry#TX#3#WRI#2010#0
Hall, Ralph M.#TX#4#REP#2010#0.687980475
Hathcox, VaLinda#TX#4#DEM#2010#0.292830447
Prindle, Jim D.#TX#4#LIB#2010#0.019189078
Shepard, Shane#TX#4#IND#2010#0
Hensarling, Jeb#TX#5#REP#2010#0.835949728
Berry, Tom#TX#5#DEM#2010#0
Ashby, Ken#TX#5#LIB#2010#0.164050272
Barton, Joe L.#TX#6#REP#2010#0.620168079
Cozad, David E.#TX#6#DEM#2010#0.356113364
Severns, Byron#TX#6#LIB#2010#0.023718556
Culberson, John#TX#7#REP#2010#0.559009947
Townsend, Bob#TX#7#LIB#2010#0.017381949
Squiers, Lissa#TX#7#WRI#2010#0
Brady, Kevin#TX#8#REP#2010#0.725616656
Hargett, Kent#TX#8#DEM#2010#0.247881423
West, Bruce#TX#8#LIB#2010#0.026501922
Green, Al#TX#9#DEM#2010#0.936469914
Mueller, Steve#TX#9#REP#2010#0
Hope, Michael W.#TX#9#LIB#2010#0.063530086
McCaul, Michael#TX#10#REP#2010#0.538883702
Ankrum, Ted#TX#10#DEM#2010#0.431481042
"""Perkins, Jeremiah """"JP"""#TX#10#LIB#2010#0.029635256
Conaway, Mike#TX#11#REP#2010#0.883307869
Quillian, James#TX#11#DEM#2010#0
Powell, James A.#TX#11#LIB#2010#0.116692131
Howe, Jim#TX#11#GRE#2010#0
Granger, Kay#TX#12#REP#2010#0.675941567
Smith, Tracey#TX#12#DEM#2010#0.306041957
Solodow, Matthew#TX#12#LIB#2010#0.018016476
Thornberry, Mac#TX#13#REP#2010#0.776469371
Dyer, Keith#TX#13#IND#2010#0
Burwell, John T., Jr.#TX#13#LIB#2010#0
Paul, Ron#TX#14#REP#2010#1
Pruett, Robert#TX#14#DEM#2010#0
Hinojosa, Rubén#TX#15#DEM#2010#0.657133433
Zamora, Eddie#TX#15#REP#2010#0.319489579
Cohn, Aaron I.#TX#15#LIB#2010#0.023376988
Reyes, Silvestre#TX#16#DEM#2010#0.821399545
Besco, Tim#TX#16#REP#2010#0
Collins, Bill#TX#16#LIB#2010#0.07560341
Collins, Tim#TX#16#WRI#2010#0
Flores, Bill#TX#17#REP#2010#0.455003897
Edwards, Chet#TX#17#DEM#2010#0.529843872
Kelly, Richard B.#TX#17#LIB#2010#0.015152231
Lee, Sheila Jackson#TX#18#DEM#2010#0.773249461
Faulk, John#TX#18#REP#2010#0.203410025
Taylor, Mike#TX#18#LIB#2010#0.023340513
"""Meyer, Charles B. """"ChuckM"""#TX#18#WRI#2010#0
Neugebauer, Randy#TX#19#REP#2010#0.724389646
Wilson, Andy#TX#19#DEM#2010#0.249472295
"""Peterson, Richard """"Chip"""#TX#19#LIB#2010#0.026138059
Gonzales, Charles A.#TX#20#DEM#2010#0.71897433
Trotter, Clayton#TX#20#REP#2010#0.251814408
"""Idrogo, Michael """"Commander"""#TX#20#LIB#2010#0.029211262
Smith, Lamar#TX#21#REP#2010#0.799970429
Melnick, Lainey#TX#21#DEM#2010#0
Strohm, James Arthur#TX#21#LIB#2010#0.200029571
Olson, Pete#TX#22#REP#2010#0.524267383
Rogers, Kesha#TX#22#DEM#2010#0.453599573
Susman, Steven#TX#22#LIB#2010#0.022133044
Williams, Johnny#TX#22#WRI#2010#0
"""Canseco, Francisco """"Quico"""#TX#23#REP#2010#0.419174949
Rodriguez, Ciro D.#TX#23#DEM#2010#0.557616335
Stephens, Craig T.#TX#23#IND#2010#0
Nitschke, Martin#TX#23#LIB#2010#0.023208716
Scharf, Ed#TX#23#GRE#2010#0
Marchant, Kenny E.#TX#24#REP#2010#0.559840293
Sparks, David#TX#24#LIB#2010#0.029471894
Doggett, Lloyd#TX#25#DEM#2010#0.658282297
Campbell, Donna#TX#25#REP#2010#0.304477233
Stutsman, Jim#TX#25#LIB#2010#0.03724047
Burgess, Michael C.#TX#26#REP#2010#0.601712211
Durrance, Neil L.#TX#26#DEM#2010#0.364290206
Boler, Mark#TX#26#LIB#2010#0.033997583
Farenthold, R. Blake#TX#27#REP#2010#0.383849771
Ortiz, Solomon P.#TX#27#DEM#2010#0.579516002
Mishou, Ed#TX#27#LIB#2010#0.036634227
Cuellar, Henry#TX#28#DEM#2010#0.687070213
Underwood, Bryan#TX#28#REP#2010#0.292222099
Kaat, Stephen#TX#28#LIB#2010#0.020707689
Green, Gene#TX#29#DEM#2010#0.746465157
Morales, Roy#TX#29#REP#2010#0.238889825
Walters, Brad#TX#29#LIB#2010#0.014645018
Johnson, Eddie Bernice#TX#30#DEM#2010#0.824847041
Broden, Stephen E.#TX#30#REP#2010#0.158651018
Oswalt, J.B.#TX#30#LIB#2010#0.016501941
Carter, John R.#TX#31#REP#2010#0.602679675
Oliver, Bill#TX#31#LIB#2010#0.031520336
Sessions, Pete#TX#32#REP#2010#0.572512432
Raggio, Grier#TX#32#DEM#2010#0.405721038
Myers, John Jay#TX#32#LIB#2010#0.02176653
Bishop, Rob#UT#1#REP#2010#0.64854916
Bowen, Morgan E.#UT#1#DEM#2010#0.304730676
Pearson, Kirk D.#UT#1#OTHER#2010#0.02437674
Stratton, Jared Paul#UT#1#LIB#2010#0.022343423
Matheson, Jim#UT#2#DEM#2010#0.633506065
Philpot, Morgan#UT#2#REP#2010#0.344744133
Hinton, Randall#UT#2#OTHER#2010#0.008612646
Glissmeyer, Dave#UT#2#OTHER#2010#0.008612646
Hill, Wayne L.#UT#2#OTHER#2010#0.008612646
Chaffetz, Jason#UT#3#REP#2010#0.656104312
Hyer, Karen#UT#3#DEM#2010#0.282829771
Sligting, Douglas#UT#3#OTHER#2010#0.061065917
Shannon, Jake#UT#3#LIB#2010#0
Puente, Joseph L.#UT#3#OTHER#2010#0.061065917
Welch, Peter#VT#0#DEM#2010#0
Beaudry, Paul D.#VT#0#REP#2010#0
Jaccaci, Gus#VT#0#IND#2010#0.075067913
Newton, Jane#VT#0#OTHER#2010#0.924932087
"""Wittman, Robert J. """"Rob"""#VA#1#REP#2010#0.56695018
Ball, Krystal M.#VA#1#DEM#2010#0.418405945
"""Parker, G. Gail """"for Rail"""#VA#1#OTHER#2010#0
Rigell, E. Scott#VA#2#REP#2010#0.475270305
Nye, Glenn C., III#VA#2#DEM#2010#0.524729695
Golden, Kenny E.#VA#2#IND#2010#0
"""Scott, Robert C. """"Bobby"""#VA#3#DEM#2010#1
"""Smith, C. L. """"Chuck,"""" Jr."""#VA#3#REP#2010#0
Quigley, James J.#VA#3#LIB#2010#0
Kelly, John D.#VA#3#IND#2010#0
Forbes, J. Randy#VA#4#REP#2010#0.595826001
LeGrow, Wynne V. E.#VA#4#DEM#2010#0.404173999
Hurt, Robert#VA#5#REP#2010#0.498852925
Perriello, Tom S. P.#VA#5#DEM#2010#0.501147075
Clark, Jeffrey A.#VA#5#IND#2010#0
"""Goodlatte, Robert W. """"Bob"""#VA#6#REP#2010#0.61624964
Vanke, Jeffrey W.#VA#6#IND#2010#0.017342133
Bain, Stuart M.#VA#6#LIB#2010#0
Cantor, Eric I.#VA#7#REP#2010#0.628355944
Waugh, Rick E., Jr.#VA#7#DEM#2010#0.371644056
Bayne, Floyd C.#VA#7#OTHER#2010#0
"""Moran, James P. """"Jim,"""" Jr."""#VA#8#DEM#2010#0.681414253
Murray, J. Patrick#VA#8#REP#2010#0.297717272
Fisher, J. Ron#VA#8#OTHER#2010#0.020868476
Griffith, H. Morgan#VA#9#REP#2010#0
Boucher, Rick C.#VA#9#DEM#2010#1
Heaton, Jeremiah D.#VA#9#IND#2010#0
Wolf, Frank R.#VA#10#REP#2010#0.588831362
Barnett, Jeffery R.#VA#10#DEM#2010#0.388851945
Redpath, William B.#VA#10#LIB#2010#0
"""Connolly, Gerald E. """"Gerry"""#VA#11#DEM#2010#0.548196315
Fimian, Keith S.#VA#11#REP#2010#0.431529138
DeCarlo, Christopher F.#VA#11#IND#2010#0
Dotson, David L.#VA#11#LIB#2010#0
Gillis, David William, Jr.#VA#11#OTHER#2010#0.020274547
Inslee, Jay#WA#1#DEM#2010#0.677583908
Watkins, James#WA#1#REP#2010#0
Larsen, Rick#WA#2#DEM#2010#0.623921347
Koster, John#WA#2#REP#2010#0.376078653
Herrera, Jaime#WA#3#REP#2010#0.359874634
Heck, Denny#WA#3#DEM#2010#0.640125366
Hastings, Doc#WA#4#REP#2010#0.630879459
Clough, Jay#WA#4#DEM#2010#0.369120541
Rodgers, Cathy McMorris#WA#5#REP#2010#0.652806569
Romeyn, Daryl#WA#5#DEM#2010#0.347193431
Dicks, Norm#WA#6#DEM#2010#0.668645641
Cloud, Doug#WA#6#REP#2010#0.331354359
McDermott, Jim#WA#7#DEM#2010#0.836529453
Jeffers-Schroder, Bob#WA#7#IND#2010#0
Reichert, Dave#WA#8#REP#2010#0.527843142
DelBene, Suzan#WA#8#DEM#2010#0.472156858
Smith, Adam#WA#9#DEM#2010#0.654459397
Muri, Richard (Dick)#WA#9#REP#2010#0.345540603
McKinley, David B.#WV#1#REP#2010#0
Oliverio, Michael Angelo, III#WV#1#DEM#2010#0.99930801
Capito, Shelley Moore#WV#2#REP#2010#0.570688193
Graf, Virginia Lynch#WV#2#DEM#2010#0.429249832
Hudok, Phil#WV#2#OTHER#2010#0
Rahall, Nick Joe, II#WV#3#DEM#2010#0.669192641
Maynard, Elliott E.#WV#3#REP#2010#0.330807359
Ryan, Paul#WI#1#REP#2010#0.640121591
Heckenlively, John#WI#1#DEM#2010#0.34711527
Kexel, Joseph#WI#1#LIB#2010#0.012763139
Baldwin, Tammy#WI#2#DEM#2010#0.694044108
Lee, Chad#WI#2#REP#2010#0.305955892
Kind, Ron#WI#3#DEM#2010#0.632244444
Kapanke, Dan#WI#3#REP#2010#0.344633974
Krsiean, Michael#WI#3#OTHER#2010#0
Moore, Gwen#WI#4#DEM#2010#0.883806198
Sebring, Dan#WI#4#REP#2010#0
Ayyash, Eddie Ahmad#WI#4#OTHER#2010#0
Sensenbrenner, F. James, Jr.#WI#5#REP#2010#0.797919336
Kolosso, Todd P.#WI#5#DEM#2010#0
Raymond, Robert R.#WI#5#IND#2010#0.202080664
Petri, Tom#WI#6#REP#2010#0.637635969
Kallas, Joseph C.#WI#6#DEM#2010#0.362364031
Duffy, Sean#WI#7#REP#2010#0.391694603
Lassa, Julie M.#WI#7#DEM#2010#0.608305397
Kauther, Gary#WI#7#OTHER#2010#0
Ribble, Reid J.#WI#8#REP#2010#0.459471982
Kagen, Steven L.#WI#8#DEM#2010#0.540528018
Lummis, Cynthia M.#WY#0#REP#2010#0.527016608
Wendt, David#WY#0#DEM#2010#0.428691895
Love, John V.#WY#0#LIB#2010#0.044291497
Bonner, Jo#AL#1#REP#2012#0.830414361
Roby, Martha#AL#2#REP#2012#0.510937715
Ford, Therese#AL#2#DEM#2012#0.489062285
Rogers, Mike#AL#3#REP#2012#0.594806507
Harris, John Andrew#AL#3#DEM#2012#0.405193493
Aderholt, Robert#AL#4#REP#2012#1
Boman, Daniel H.#AL#4#DEM#2012#0
Brooks, Mo#AL#5#REP#2012#0.579356697
Holley, Charlie L.#AL#5#DEM#2012#0.420643303
Bachus, Spencer#AL#6#REP#2012#1
"""Bailey, Penny """"Colonel"""#AL#6#DEM#2012#0
Sewell, Terri A.#AL#7#DEM#2012#0.724847019
Chamberlain, Don#AL#7#REP#2012#0.275152981
Young, Don#AK#0#REP#2012#0.693244792
Cissna, Sharon M.#AK#0#DEM#2012#0.306755208
McDermott, Jim C.#AK#0#LIB#2012#0
Gianoutsos, Ted#AK#0#OTHER#2012#0
Kirkpatrick, Ann#AZ#1#DEM#2012#0.43730775
Paton, Jonathan#AZ#1#REP#2012#0.497166377
Allen, Kim#AZ#1#OTHER#2012#0.065525873
Barber, Ron#AZ#2#DEM#2012#0.310576484
McSally, Martha#AZ#2#REP#2012#0.648845609
Prowell, Anthony#AZ#2#WRI#2012#3.75E-05
Grijalva, Raúl M.#AZ#3#DEM#2012#0.411446093
Saucedo Mercer, Gabriela#AZ#3#REP#2012#0.522364962
Guerra, Blanca#AZ#3#LIB#2012#0.050357811
Gosar, Raul#AZ#4#REP#2012#0.27527827
Robinson, Johnnie#AZ#4#DEM#2012#0.669415823
Pamelia, Joe#AZ#4#LIB#2012#0.029573373
Grayson, Richard#AZ#4#OTHER#2012#0
Salmon, Matt#AZ#5#REP#2012#0.520018846
Morgan, Spencer#AZ#5#DEM#2012#0.432268551
Schweikert, David#AZ#6#REP#2012#0.664235333
Jette, Matt#AZ#6#DEM#2012#0.291178629
Anderson, Jack#AZ#6#LIB#2012#0
Salazar, Mark#AZ#6#OTHER#2012#0.044586038
Ketover, James#AZ#6#WRI#2012#0
Pastor, Ed#AZ#7#DEM#2012#0.502280953
Cobb, Joe#AZ#7#LIB#2012#0.02713266
Franks, Trent#AZ#8#REP#2012#0.4729704
Scharer, Gene#AZ#8#DEM#2012#0.487625979
Dolgos, Stephen#AZ#8#OTHER#2012#0
Sinema, Kyrsten#AZ#9#DEM#2012#0
Parker, Vernon B.#AZ#9#REP#2012#0
Gammill, Powell#AZ#9#OTHER#2012#0
Crawford, Rick#AR#1#REP#2012#0.517890971
Ellington, Scott#AR#1#DEM#2012#0.434799758
Paxton, Jessica#AR#1#LIB#2012#0
Holloway, Jacob#AR#1#GRE#2012#0.046220425
Griffin, Tim#AR#2#REP#2012#0.579146348
Rule, Herb#AR#2#DEM#2012#0.382743867
Ward, Barbara#AR#2#GRE#2012#0.017072083
Hayes, Chris#AR#2#LIB#2012#0
Womack, Steve#AR#3#REP#2012#0.724350755
Kennedy, Rebekah#AR#3#GRE#2012#0
Pangrac, David#AR#3#LIB#2012#0
Cotton, Tom#AR#4#REP#2012#0.401529186
Jeffress, Gene#AR#4#DEM#2012#0.575291634
Tullis, Bobby#AR#4#LIB#2012#0
Drake, J. Joshua#AR#4#GRE#2012#0.02317918
La Malfa, Doug#CA#1#REP#2012#0.310338801
Reed, Jim#CA#1#DEM#2012#0.627928489
Huffman, Jared#CA#2#DEM#2012#0.428461606
Roberts, Daniel W.#CA#2#REP#2012#0.571490347
Garamendi, John#CA#3#DEM#2012#0.431888462
Vann, Kim#CA#3#REP#2012#0.500763539
McClintock, Tom#CA#4#REP#2012#0.612686496
Uppal, Jack#CA#4#DEM#2012#0.314411184
Thompson, Mike#CA#5#DEM#2012#0.720491851
Loftin, Randy#CA#5#REP#2012#0.252752161
Matsui, Doris#CA#6#DEM#2012#0.659447372
McRay, Joseph, Sr.#CA#6#REP#2012#0.296229782
Bera, Ami#CA#7#DEM#2012#0.682543764
Lungren, Dan#CA#7#REP#2012#0.317456236
Cook, Paul#CA#8#REP#2012#0.151466466
Imus, Gregg#CA#8#REP#2012#0.151466466
McNerney, Jerry#CA#9#DEM#2012#0.842655954
Gill, Ricky#CA#9#REP#2012#0.107686199
Denham, Jeff#CA#10#REP#2012#0.378570268
Hernandez, Jose#CA#10#DEM#2012#0.588428013
Miller, George#CA#11#DEM#2012#0.479665534
Fuller, Virginia#CA#11#REP#2012#0.468613697
Pelosi, Nancy#CA#12#DEM#2012#0.755828636
Dennis, John#CA#12#REP#2012#0.221090464
Lee, Barbara#CA#13#DEM#2012#0.719548845
Singleton, Marilyn M.#CA#13#OTHER#2012#0
Speier, Jackie#CA#14#DEM#2012#0.690901864
Bacigalupi, Deborah (Debbie)#CA#14#REP#2012#0.278326305
Swalwell, Eric#CA#15#DEM#2012#0.6759746
Stark, Fortney Pete#CA#15#DEM#2012#0.6759746
Costa, Jim#CA#16#DEM#2012#0.678215792
Whelan, Brian Daniel#CA#16#REP#2012#0
Honda, Mike#CA#17#DEM#2012#0.666524456
Li, Evelyn#CA#17#REP#2012#0.298508468
Eshoo, Anna G.#CA#18#DEM#2012#0.58484053
Chapman, Dave#CA#18#REP#2012#0.41515947
Lofgren, Zoe#CA#19#DEM#2012#0.351489678
Murray, Robert#CA#19#REP#2012#0.645513871
Farr, Sam#CA#20#DEM#2012#0.517049774
Taylor, Jeff#CA#20#REP#2012#0.482950226
Valadao, David G.#CA#21#REP#2012#1
Hernandez, John#CA#21#DEM#2012#0
Nunes, Devin G.#CA#22#REP#2012#0.987629723
Lee, Otto#CA#22#DEM#2012#0
McCarthy, Kevin#CA#23#REP#2012#0.376009883
Phillips, Terry#CA#23#OTHER#2012#0
Capps, Lois#CA#24#DEM#2012#0.400604991
Maldonado, Abel#CA#24#REP#2012#0.599395009
"""McKeon, Howard P. """"Buck"""#CA#25#REP#2012#0.618325877
Rogers, Lee C.#CA#25#DEM#2012#0.381674123
Brownley, Julia#CA#26#DEM#2012#0.365222441
Strickland, Tony#CA#26#REP#2012#0.541279692
Chu, Judy#CA#27#DEM#2012#0.651506808
Orswell, Jack#CA#27#REP#2012#0.348493192
Schiff, Adam#CA#28#DEM#2012#0.695359028
Jennerjahn, Phil#CA#28#REP#2012#0.224165467
Cárdenas, Tony#CA#29#DEM#2012#0.647778757
Hernandez, David R.#CA#29#OTHER#2012#0
Sherman, Brad#CA#30#DEM#2012#0.646329922
Berman, Howard L.#CA#30#DEM#2012#0.646329922
Miller, Gary G.#CA#31#REP#2012#0.161789564
Dutton, Bob#CA#31#REP#2012#0.161789564
Napolitano, Grace F.#CA#32#DEM#2012#0.710413317
Miller, David L.#CA#32#REP#2012#0.289586683
Waxman, Henry A.#CA#33#DEM#2012#0.860806219
Bloomfield, Bill#CA#33#OTHER#2012#0
Becerra, Xavier#CA#34#DEM#2012#0.772292657
Smith, Stephen C.#CA#34#REP#2012#0.227707343
McLeod, Gloria Negrete#CA#35#DEM#2012#0.793336783
Baca, Joe#CA#35#DEM#2012#0.793336783
Ruiz, Raul#CA#36#DEM#2012#0.596188195
Mack, Mary Bono#CA#36#REP#2012#0.347363762
Bass, Karen R.#CA#37#DEM#2012#0.68355933
Osborne, Morgan#CA#37#OTHER#2012#0
Sánchez, Linda T.#CA#38#DEM#2012#0.734549862
Campos, Benjamin#CA#38#REP#2012#0.265450138
Royce, Ed#CA#39#REP#2012#0.325966765
Chen, Jay#CA#39#DEM#2012#0.632671893
Roybal-Allard, Lucille#CA#40#DEM#2012#0.332112605
Sanchez, David#CA#40#DEM#2012#0.332112605
Takano, Mark#CA#41#DEM#2012#0.36776643
Tavaglione, John#CA#41#REP#2012#0.632060548
Calvert, Ken#CA#42#REP#2012#0.622124483
Williamson, Michael#CA#42#DEM#2012#0.3186039
Waters, Maxine#CA#43#DEM#2012#0.654962775
Flores, Bob#CA#43#DEM#2012#0.654962775
Hahn, Janice#CA#44#DEM#2012#0.443864932
Richardson, Laura#CA#44#DEM#2012#0.443864932
Campbell, John#CA#45#REP#2012#0.514852443
Kang, Sukhee#CA#45#DEM#2012#0.421376106
Sanchez, Loretta#CA#46#DEM#2012#0.377877232
Hayden, Jerry#CA#46#REP#2012#0.622033793
Lowenthal, Alan#CA#47#DEM#2012#0.52975384
DeLong, Gary#CA#47#REP#2012#0.392677741
Rohrabacher, Dana#CA#48#REP#2012#0.599380353
Varasteh, Ron#CA#48#DEM#2012#0.364474969
Issa, Darrell#CA#49#REP#2012#0.627846286
Tetalman, Jerry#CA#49#DEM#2012#0.314819404
Hunter, Duncan D.#CA#50#REP#2012#0.566538288
Secor, David B.#CA#50#DEM#2012#0.389587424
Vargas, Juan#CA#51#DEM#2012#0.60051002
Crimmins, Michael#CA#51#REP#2012#0.399455238
Peters, Scott#CA#52#DEM#2012#0.320588794
Bilbray, Brian#CA#52#REP#2012#0.63086374
Davis, Susan A.#CA#53#DEM#2012#0.622593983
Popaditch, Nick#CA#53#REP#2012#0.33999097
DeGette, Diana#CO#1#DEM#2012#0.674235022
Stroud, Danny#CO#1#REP#2012#0.28758947
Atwood, Frank#CO#1#LIB#2012#0.013800174
Swing, Gary#CO#1#GRE#2012#0.014069728
Juniel, Thomas Henry#CO#1#WRI#2012#0
Polis, Jared#CO#2#DEM#2012#0.57413668
Lundberg, Kevin#CO#2#REP#2012#0.378957687
Luallin, Randy#CO#2#LIB#2012#0.019527933
Hall, Susan P.#CO#2#GRE#2012#0
Tipton, Scott R.#CO#3#REP#2012#0.498700302
Pace, Sal#CO#3#DEM#2012#0.460267996
Casida, Tisha T.#CO#3#OTHER#2012#0.019069842
Gilman, Gregory#CO#3#LIB#2012#0.021832651
McMillan, Jaime#CO#3#WRI#2012#0.0001292
Gardner, Cory#CO#4#REP#2012#0.524769003
Shaffer, Brandon#CO#4#DEM#2012#0.413538445
Gilliland, Josh#CO#4#LIB#2012#0
Aden, Doug#CO#4#OTHER#2012#0.061692551
Lamborn, Doug#CO#5#REP#2012#0.657515682
Anderson, Dave#CO#5#OTHER#2012#0.025323318
Pirtle, Jim#CO#5#LIB#2012#0.024437044
Luzov, Misha#CO#5#GRE#2012#0
Harvell, Kenneth R.#CO#5#OTHER#2012#0.025323318
Cantrell, George Allen#CO#5#WRI#2012#0
Coffman, Mike#CO#6#REP#2012#0.656724173
Miklosi, Joe#CO#6#DEM#2012#0.314644587
Polhemus, Kathy#CO#6#OTHER#2012#0
Provost, Patrick E.#CO#6#LIB#2012#0.028610095
Perlmutter, Ed#CO#7#DEM#2012#0.534448081
Coors, Joe#CO#7#REP#2012#0.417560837
"""Campbell, Douglas """"Dayhorse"""#CO#7#OTHER#2012#0
Bailey, Buck#CO#7#LIB#2012#0.047991082
Larson, John B.#CT#1#OTHER#2012#0.616688344
Decker, John Henry#CT#1#REP#2012#0.371955158
DeRosa, S. Michael#CT#1#GRE#2012#0.011343225
Corey, Matthew M.#CT#1#OTHER#2012#0.616688344
Courtney, Joe#CT#2#OTHER#2012#0.598632951
Formica, Paul M.#CT#2#REP#2012#0.387631731
Bennett, Colin D.#CT#2#GRE#2012#0.013548939
Reale, Daniel J.#CT#2#LIB#2012#0
DeLauro, Rosa L.#CT#3#OTHER#2012#0.650613384
Winsley, Wayne#CT#3#REP#2012#0.335840951
Concepcion, Hector W., Jr.#CT#3#WRI#2012#2.27E-05
"""Packard, Stephen """"Steve"""#CT#3#WRI#2012#2.27E-05
Himes, Jim#CT#4#OTHER#2012#0.530615343
Obsitnik, Stephen#CT#4#REP#2012#0.469338657
Esty, Elizabeth#CT#5#OTHER#2012#0.999903213
Roraback, Andrew#CT#5#OTHER#2012#0.999903213
Pistone, John#CT#5#WRI#2012#9.68E-05
Jaeger, Russ#CT#5#WRI#2012#9.68E-05
Carney, John C., Jr.#DE#0#DEM#2012#0.56780942
Kovach, Thomas H.#DE#0#REP#2012#0.4104294
August, Bernard#DE#0#GRE#2012#0
Gesty, Scott#DE#0#LIB#2012#0.006497926
Miller, Jeff#FL#1#REP#2012#0.800000937
Bryan, Jim#FL#1#DEM#2012#0
Fretts, Calen#FL#1#LIB#2012#0
Drummond, William Cleave, II#FL#1#WRI#2012#0.005629291
Southerland, Steve#FL#2#REP#2012#0.53596947
Lawson, Al#FL#2#DEM#2012#0.413503486
Miller, Floyd Patrick#FL#2#WRI#2012#6.29E-05
Yoho, Ted#FL#3#REP#2012#0.338866674
Gaillot, J.R.#FL#3#DEM#2012#0.630361741
Dodds, Philip#FL#3#NON#2012#0.030771585
Crenshaw, Ander#FL#4#REP#2012#0.772111157
Klauder, Jim#FL#4#NON#2012#0.227598605
Koniz, Gary#FL#4#WRI#2012#0.000290238
Brown, Corrine#FL#5#DEM#2012#0.32569194
Kolb, LeAnne#FL#5#REP#2012#0.67430806
Fleming, Eileen#FL#5#NON#2012#0
Riggs, Bruce Ray#FL#5#WRI#2012#0
Desantis, Ron#FL#6#REP#2012#0.714591941
Beaven, Heather#FL#6#DEM#2012#0
Mica, John#FL#7#REP#2012#0.690311007
Kendall, Jason H.#FL#7#DEM#2012#0.309688993
Marra, Fred#FL#7#WRI#2012#0
Posey, Bill#FL#8#REP#2012#0.561132199
Roberts, Shannon#FL#8#DEM#2012#0.38215343
Gillmor, Richard H.#FL#8#NON#2012#0.018810955
Grayson, Alan#FL#9#DEM#2012#0.285667405
Long, Todd#FL#9#REP#2012#0.714332595
Webster, Daniel#FL#10#REP#2012#0.659206904
Demings, Val B.#FL#10#DEM#2012#0.340793096
Seegolam, Naipaul#FL#10#WRI#2012#0
"""Nugent, Richard B. """"Rich"""#FL#11#REP#2012#0.403650135
Werder, H. David#FL#11#DEM#2012#0.596349865
Bilirakis, Gus Michael#FL#12#REP#2012#0.481432522
Snow, Jonathan Michael#FL#12#DEM#2012#0.411423616
Russell, John#FL#12#NON#2012#0
Elliott, Paul Sidney#FL#12#NON#2012#0
Young, C.W . Bill#FL#13#REP#2012#0.688600928
Ehrlich, Jessica#FL#13#DEM#2012#0.311399072
Castor, Kathy#FL#14#DEM#2012#0.271304848
"""Otero, Evelio """"EJ"""#FL#14#REP#2012#0.685646781
Ross, Dennis#FL#15#REP#2012#0.647284011
Buchanan, Vern#FL#16#REP#2012#0.668491492
Fitzgerald, Keith#FL#16#DEM#2012#0.330886502
Rooney, Tom#FL#17#REP#2012#0
Bronson, William#FL#17#DEM#2012#0.862130178
Baumann, Tom#FL#17#WRI#2012#0
Murphy, Patrick#FL#18#DEM#2012#0.311147751
West, Allen B.#FL#18#REP#2012#0.688852249
Holloman, Marilyn Davis#FL#18#WRI#2012#0
Radel, Trey#FL#19#REP#2012#0.373037871
Roach, Jim#FL#19#DEM#2012#0.625881862
Smith, Brandon M.#FL#19#NON#2012#0
Hastings, Alcee L.#FL#20#DEM#2012#0.601462076
Terry, Randall#FL#20#NON#2012#0.017515069
Dutrow, Anthony M.#FL#20#WRI#2012#1.79E-05
Deutch, Ted#FL#21#DEM#2012#0
"""Trout, W. Michael """"Mike"""#FL#21#NON#2012#0
