"Royce , E.",CA,39,REP,2016,138907
"Murdock , B.",CA,39,DEM,2016,101651
"Roybal-Allard , L.",CA,40,DEM,2016,82789
"Gonzalez , R.",CA,40,OTHER,2016,32404
"Takano , M.",CA,41,DEM,2016,115859
"Shepherd , D.",CA,41,REP,2016,64153
"Calvert , K.",CA,42,REP,2016,139915
"Sheridan , T.",CA,42,DEM,2016,97123
"Waters , M.",CA,43,DEM,2016,128551
"Navarro , O.",CA,43,REP,2016,41507
"Barragan , N.",CA,44,DEM,2016,70303
"Hall , I.",CA,44,DEM,2016,67177
"Walters , M.",CA,45,REP,2016,171736
"Varasteh , R.",CA,45,DEM,2016,119521
"Correa , L.",CA,46,DEM,2016,103475
"Nguyen , B.",CA,46,DEM,2016,44652
"Lowenthal , A.",CA,47,DEM,2016,127832
"Whallon , A.",CA,47,REP,2016,76670
"Rohrabacher , D.",CA,48,REP,2016,165987
"Savary , S.",CA,48,DEM,2016,117716
"Issa , D.",CA,49,OTHER,2016,134428
"Applegate , D.",CA,49,DEM,2016,129100
"Hunter , D.",CA,50,REP,2016,148880
"Malloy , P.",CA,50,DEM,2016,84142
"Vargas , J.",CA,51,DEM,2016,108932
"Hidalgo , J.",CA,51,REP,2016,42676
"Peters , S.",CA,52,DEM,2016,148651
"Gitsham , D.",CA,52,REP,2016,115013
"Davis , S.",CA,53,DEM,2016,151269
"Veltmeyer , J.",CA,53,REP,2016,77436
"DeGette , D.",CO,1,DEM,2016,189837
"Stockham , C.",CO,1,REP,2016,79561
"Dinges , D.",CO,1,LIB,2016,10549
"Polis , J.",CO,2,DEM,2016,251988
"Morse , N.",CO,2,REP,2016,166020
"Longstreth , R.",CO,2,LIB,2016,25858
"Tipton , S.",CO,3,REP,2016,191917
"Schwartz , G.",CO,3,DEM,2016,142794
"Kent , G.",CO,3,LIB,2016,16996
"Buck , K.",CO,4,REP,2016,241424
"Seay , B.",CO,4,DEM,2016,119249
"Griffith , B.",CO,4,LIB,2016,17925
"Lamborn , D.",CO,5,REP,2016,222169
"Plowright , M.",CO,5,DEM,2016,109573
"McRedmond , M.",CO,5,LIB,2016,24320
"Coffman , M.",CO,6,REP,2016,180727
"Carroll , M.",CO,6,DEM,2016,149417
"Olsen , N.",CO,6,LIB,2016,17102
"Worthey , R.",CO,6,GRE,2016,5038
"Perlmutter , E.",CO,7,DEM,2016,185208
"Athanasopoulos , G.",CO,7,REP,2016,134244
"Buchanan , M.",CO,7,LIB,2016,15831
"Larson , J.",CT,1,DEM,2016,193040
"Corey , M.",CT,1,REP,2016,104214
"DeRosa , M.",CT,1,GRE,2016,6283
"Courtney , J.",CT,2,DEM,2016,207584
"Novak , D.",CT,2,REP,2016,111587
"Pelto , J.",CT,2,GRE,2016,5332
"Reale , D.",CT,2,LIB,2016,5016
"DeLauro , R.",CT,3,DEM,2016,208900
"Cadena , A.",CT,3,REP,2016,95370
"Himes , J.",CT,4,DEM,2016,185928
"Shaban , J.",CT,4,REP,2016,123630
"Esty , E.",CT,5,DEM,2016,174788
"Cope , C.",CT,5,REP,2016,126842
"Rochester , L.",DE,1,DEM,2016,233542
"Reigle , H.",DE,1,REP,2016,172290
"Perri , M.",DE,1,GRE,2016,8325
"Gesty , S.",DE,1,LIB,2016,6436
"Gaetz , M.",FL,1,REP,2016,254280
"Specht , S.",FL,1,DEM,2016,113586
"Dunn , N.",FL,2,REP,2016,230838
"Dartland , W.",FL,2,DEM,2016,102596
"Lapham , R.",FL,2,LIB,2016,9384
"Yoho , T.",FL,3,REP,2016,193261
"McGurn , K.",FL,3,DEM,2016,135688
"Wells , T.",FL,3,OTHER,2016,12438
"Rutherford , J.",FL,4,REP,2016,286018
"Bruderly , D.",FL,4,DEM,2016,112253
"Koniz , G.",FL,4,OTHER,2016,8990
"Lawson , A.",FL,5,DEM,2016,193430
"Smith , G.",FL,5,REP,2016,107784
"DeSantis , R.",FL,6,REP,2016,213180
"McCullough , B.",FL,6,DEM,2016,150677
"Murphy , S.",FL,7,DEM,2016,181758
"Mica , J.",FL,7,REP,2016,171412
"Posey , B.",FL,8,REP,2016,246257
