Year,Candidate Name,District/State,Vote Total
2016,D Winner L. Correa,46 california,"103,475"
2016,D B. Nguyen,46 california,"44,652"
2016,D Winner A. Lowenthal (i),47 california,"127,832"
2016,R A. Whallon,47 california,"76,670"
2016,R Winner D. Rohrabacher (i),48 california,"165,987"
2016,D S. Savary,48 california,"117,716"
2016,RWinner  D. Issa (i),49 california,"134,428"
2016,D D. Applegate,49 california,"129,100"
2016,R Winner D. Hunter (i),50 california,"148,880"
2016,D P. Malloy,50 california,"84,142"
2016,D Winner J. Vargas (i),51 california,"108,932"
2016,R J. Hidalgo,51 california,"42,676"
2016,D Winner S. Peters (i),52 california,"148,651"
2016,R D. Gitsham,52 california,"115,013"
2016,D Winner S. Davis (i),53 california,"151,269"
2016,R J. Veltmeyer,53 california,"77,436"
2016,D Winner D. DeGette (i),1 colorado,"189,837"
2016,R C. Stockham,1 colorado,"79,561"
2016,L D. Dinges,1 colorado,"10,549"
2016,D Winner J. Polis (i),2 colorado,"251,988"
2016,R N. Morse,2 colorado,"166,020"
2016,L R. Longstreth,2 colorado,"25,858"
2016,R Winner S. Tipton (i),3 colorado,"191,917"
2016,D G. Schwartz,3 colorado,"142,794"
2016,L G. Kent,3 colorado,"16,996"
2016,R Winner K. Buck (i),4 colorado,"241,424"
2016,D B. Seay,4 colorado,"119,249"
2016,L B. Griffith,4 colorado,"17,925"
2016,R Winner D. Lamborn (i),5 colorado,"222,169"
2016,D M. Plowright,5 colorado,"109,573"
2016,L M. McRedmond,5 colorado,"24,320"
2016,R Winner M. Coffman (i),6 colorado,"180,727"
2016,D M. Carroll,6 colorado,"149,417"
2016,L N. Olsen,6 colorado,"17,102"
2016,G R. Worthey,6 colorado,"5,038"
2016,D Winner E. Perlmutter (i),7 colorado,"185,208"
2016,R G. Athanasopoulos,7 colorado,"134,244"
2016,L M. Buchanan,7 colorado,"15,831"
2016,D Winner J. Larson (i),1 connecticut,"193,040"
2016,R M. Corey,1 connecticut,"104,214"
2016,G M. DeRosa,1 connecticut,"6,283"
2016,D Winner J. Courtney (i),2 connecticut,"207,584"
2016,R D. Novak,2 connecticut,"111,587"
2016,G J. Pelto,2 connecticut,"5,332"
2016,L D. Reale,2 connecticut,"5,016"
2016,D Winner R. DeLauro (i),3 connecticut,"208,900"
2016,R A. Cadena,3 connecticut,"95,370"
2016,D Winner J. Himes (i),4 connecticut,"185,928"
2016,R J. Shaban,4 connecticut,"123,630"
2016,D Winner E. Esty (i),5 connecticut,"174,788"
2016,R C. Cope,5 connecticut,"126,842"
2016,D Winner L. Rochester,1 delaware,"233,542"
2016,R H. Reigle,1 delaware,"172,290"
2016,G M. Perri,1 delaware,"8,325"
2016,L S. Gesty,1 delaware,"6,436"
2016,R Winner M. Gaetz,1 florida,"254,280"
2016,D S. Specht,1 florida,"113,586"
2016,R Winner N. Dunn,2 florida,"230,838"
2016,D W. Dartland,2 florida,"102,596"
2016,L R. Lapham,2 florida,"9,384"
2016,R Winner T. Yoho (i),3 florida,"193,261"
2016,D K. McGurn,3 florida,"135,688"
2016,N T. Wells,3 florida,"12,438"
2016,R Winner J. Rutherford,4 florida,"286,018"
2016,D D. Bruderly,4 florida,"112,253"
2016,N G. Koniz,4 florida,"8,990"
2016,D Winner A. Lawson,5 florida,"193,430"
2016,R G. Smith,5 florida,"107,784"
2016,R Winner R. DeSantis (i),6 florida,"213,180"
2016,D B. McCullough,6 florida,"150,677"
2016,D Winner S. Murphy,7 florida,"181,758"
2016,R J. Mica (i),7 florida,"171,412"
2016,R Winner B. Posey (i),8 florida,"246,257"
2016,D C. Westbrook,8 florida,"126,962"
2016,N B. Stinson,8 florida,"16,924"
2016,D Winner D. Soto,9 florida,"194,963"
2016,R W. Liebnitzky,9 florida,"144,281"
2016,D Winner V. Demings,10 florida,"198,309"
2016,R T. Lowe,10 florida,"107,423"
2016,R Winner D. Webster (i),11 florida,"257,881"
2016,D D. Koller,11 florida,"124,599"
2016,N B. Riggs,11 florida,"11,961"
2016,R Winner G. Bilirakis (i),12 florida,"253,347"
2016,D R. Tager,12 florida,"115,909"
2016,D Winner C. Crist,13 florida,"184,371"
2016,R D. Jolly (i),13 florida,"170,964"
2016,D Winner K. Castor (i),14 florida,"194,851"
2016,R C. Quinn,14 florida,"120,584"
2016,R Winner D. Ross (i),15 florida,"182,498"
2016,D J. Lange,15 florida,"134,945"
2016,R Winner V. Buchanan (i),16 florida,"230,187"
2016,D J. Schneider,16 florida,"154,854"
2016,R Winner T. Rooney (i),17 florida,"209,135"
2016,D A. Freeman,17 florida,"115,801"
2016,N J. Sawyer,17 florida,"13,336"
2016,R Winner B. Mast,18 florida,"201,011"
2016,D R. Perkins,18 florida,"161,328"
2016,N C. Spalding,18 florida,"12,451"
2016,R Winner F. Rooney,19 florida,"238,975"
2016,D R. Neeld,19 florida,"123,625"
2016,D Winner A. Hastings (i),20 florida,"220,452"
2016,R G. Stein,20 florida,"54,079"
2016,D Winner L. Frankel (i),21 florida,"208,999"
2016,R P. Spain,21 florida,"117,273"
2016,N M. Trout,21 florida,"7,148"
2016,D Winner T. Deutch (i),22 florida,"197,396"
2016,R A. McGee,22 florida,"137,691"
2016,D Winner D. Wasserman Schultz (i),23 florida,"180,979"
2016,R J. Kaufman,23 florida,"129,400"
2016,N D. Endriss,23 florida,"5,100"
2016,N L. Milstein,23 florida,"3,835"
2016,D Winner F. Wilson (i),24 florida,NA
2016,R Winner M. Diaz-Balart (i),25 florida,"157,748"
2016,D A. Valdes,25 florida,"95,008"
2016,R Winner C. Curbelo (i),26 florida,"148,445"
2016,D J. Garcia,26 florida,"115,348"
2016,N J. Peixoto,26 florida,"16,491"
2016,R Winner I. Ros-Lehtinen (i),27 florida,"157,763"
2016,D S. Fuhrman,27 florida,"129,548"
2016,R Winner B. Carter (i),1 georgia,NA
2016,D Winner S. Bishop (i),2 georgia,"146,284"
2016,R G. Duke,2 georgia,"93,392"
2016,R Winner D. Ferguson,3 georgia,"206,930"
2016,D A. Pendley,3 georgia,"95,736"
2016,D Winner H. Johnson (i),4 georgia,"214,278"
2016,R V. Armendariz,4 georgia,"69,075"
2016,D Winner J. Lewis (i),5 georgia,"241,773"
2016,R D. Bell,5 georgia,"44,032"
2016,R Winner T. Price (i),6 georgia,"191,792"
2016,D R. Stooksbury,6 georgia,"119,536"
2016,R Winner R. Woodall (i),7 georgia,"173,638"
2016,D R. Malik,7 georgia,"113,593"
2016,R Winner A. Scott (i),8 georgia,"171,529"
2016,D J. Harris,8 georgia,"81,903"
2016,R Winner D. Collins (i),9 georgia,NA
2016,R Winner J. Hice (i),10 georgia,NA
2016,R Winner B. Loudermilk (i),11 georgia,"216,772"
2016,D D. Wilson,11 georgia,"104,401"
