Year,Candidate Name,District/State,Vote Total
2016,R Winner A. Wagner (i),2 missouri,"238,826"
2016,D B. Otto,2 missouri,"153,331"
2016,L J. Higgins,2 missouri,"11,621"
2016,G D. Arnold,2 missouri,"3,839"
2016,R Winner B. Luetkemeyer (i),3 missouri,"248,880"
2016,D K. Miller,3 missouri,"102,484"
2016,L D. Hogan,3 missouri,"11,906"
2016,C D. Simmons,3 missouri,"3,586"
2016,R Winner V. Hartzler (i),4 missouri,"225,034"
2016,D G. Christensen,4 missouri,"92,385"
2016,L M. Bliss,4 missouri,"14,355"
2016,D Winner E. Cleaver (i),5 missouri,"185,494"
2016,R J. Turk,5 missouri,"122,367"
2016,L R. Welborn,5 missouri,"9,594"
2016,R Winner S. Graves (i),6 missouri,"236,938"
2016,D D. Blackwell,6 missouri,"98,588"
2016,L R. Monchil,6 missouri,"8,051"
2016,G M. Diel,6 missouri,"4,202"
2016,R Winner B. Long (i),7 missouri,"228,001"
2016,D G. Williams,7 missouri,"92,390"
2016,L B. Brixey,7 missouri,"17,076"
2016,R Winner J. Smith (i),8 missouri,"229,648"
2016,D D. Cowell,8 missouri,"69,949"
2016,L J. Shell,8 missouri,"9,059"
2016,R Winner R. Zinke (i),1 montana,"280,472"
2016,D D. Juneau,1 montana,"201,758"
2016,L R. Breckenridge,1 montana,"15,949"
2016,R Winner J. Fortenberry (i),1 nebraska,"187,258"
2016,D D. Wik,1 nebraska,"81,939"
2016,R Winner D. Bacon,2 nebraska,"134,291"
2016,D B. Ashford (i),2 nebraska,"128,739"
2016,L S. Laird,2 nebraska,"9,057"
2016,R Winner A. Smith (i),3 nebraska,NA
2016,D Winner D. Titus (i),1 nevada,"116,045"
2016,R M. Perry,1 nevada,"54,053"
2016,N R. D'Silva,1 nevada,"13,806"
2016,I K. Bakari,1 nevada,"3,722"
2016,R Winner M. Amodei (i),2 nevada,"182,452"
2016,D C. Evans,2 nevada,"115,395"
2016,I J. Everhart,2 nevada,"8,660"
2016,N D. Knight,2 nevada,"6,204"
2016,D Winner J. Rosen,3 nevada,"146,653"
2016,R D. Tarkanian,3 nevada,"142,726"
2016,I W. Markowitz,3 nevada,"11,580"
2016,N D. Goossen,3 nevada,"9,551"
2016,D Winner R. Kihuen,4 nevada,"128,680"
2016,R C. Hardy (i),4 nevada,"118,220"
2016,L S. Brown,4 nevada,"10,184"
2016,I M. Little,4 nevada,"8,307"
2016,D Winner C. Shea-Porter,1 new-hampshire,"161,828"
2016,R F. Guinta (i),1 new-hampshire,"157,011"
2016,I S. O'Connor,1 new-hampshire,"34,612"
2016,L R. Lombardo,1 new-hampshire,"6,842"
2016,I B. Kelly,1 new-hampshire,"6,046"
2016,D Winner A. Kuster (i),2 new-hampshire,"174,386"
2016,R J. Lawrence,2 new-hampshire,"158,960"
2016,I J. Babiarz,2 new-hampshire,"16,843"
2016,D Winner D. Norcross (i),1 new-jersey,"178,655"
2016,R B. Patterson,1 new-jersey,"110,235"
2016,I S. Tomaszewski,1 new-jersey,"5,365"
2016,L W. Sihr,1 new-jersey,"2,352"
2016,I M. Berman,1 new-jersey,"1,916"
2016,R Winner F. LoBiondo (i),2 new-jersey,"167,816"
2016,D D. Cole,2 new-jersey,"104,726"
2016,L J. Ordille,2 new-jersey,"3,562"
2016,I J. Keenan,2 new-jersey,"2,490"
2016,I E. Beechwood,2 new-jersey,"1,322"
2016,I S. Fenichel,2 new-jersey,"1,460"
2016,I G. Franco,2 new-jersey,"1,159"
2016,R Winner T. MacArthur (i),3 new-jersey,"177,522"
2016,D F. LaVergne,3 new-jersey,"115,212"
2016,C L. Berlinski,3 new-jersey,"5,541"
2016,R Winner C. Smith (i),4 new-jersey,"206,137"
2016,D L. Phillipson,4 new-jersey,"108,373"
2016,I H. Schroeder,4 new-jersey,"5,684"
2016,L J. Marcus,4 new-jersey,"3,168"
2016,D Winner J. Gottheimer,5 new-jersey,"156,863"
2016,R S. Garrett (i),5 new-jersey,"146,643"
2016,L C. Belusic,5 new-jersey,"6,890"
2016,D Winner F. Pallone (i),6 new-jersey,"150,971"
2016,R B. Sonnek-Schmelz,6 new-jersey,"85,613"
2016,G R. Malliah,6 new-jersey,"1,695"
2016,L J. Shamy,6 new-jersey,"1,536"
2016,R Winner L. Lance (i),7 new-jersey,"184,309"
2016,D P. Jacob,7 new-jersey,"146,350"
2016,L D. O'Neill,7 new-jersey,"5,252"
2016,I A. Haussmann,7 new-jersey,"4,208"
2016,D Winner A. Sires (i),8 new-jersey,"124,381"
2016,R A. Khan,8 new-jersey,"30,085"
2016,I P. Olivera,8 new-jersey,"4,102"
2016,L D. Delaney,8 new-jersey,"3,114"
2016,D Winner B. Pascrell (i),9 new-jersey,"151,823"
2016,R H. Castillo,9 new-jersey,"61,384"
2016,L D. Rivera,9 new-jersey,"3,082"
2016,I J. Boss,9 new-jersey,"1,819"
2016,D Winner D. Payne Jr. (i),10 new-jersey,"181,591"
2016,R D. Pinckney,10 new-jersey,"25,452"
2016,I J. Miller,10 new-jersey,"3,448"
2016,I A. Fraser,10 new-jersey,"1,636"
2016,R Winner R. Frelinghuysen (i),11 new-jersey,"192,538"
2016,D J. Wenzel,11 new-jersey,"128,232"
2016,I T. Depasquale,11 new-jersey,"6,914"
2016,L J. Hetrick,11 new-jersey,"3,420"
2016,D Winner B. Watson Coleman (i),12 new-jersey,"162,383"
2016,R S. Uccio,12 new-jersey,"83,633"
2016,I E. Forchion,12 new-jersey,"5,437"
2016,I R. Shapiro,12 new-jersey,"2,501"
2016,L T. Fitzpatrick,12 new-jersey,"2,215"
2016,G S. Welzer,12 new-jersey,"1,873"
2016,I M. Bollentin,12 new-jersey,"1,154"
2016,D Winner M. Lujan Grisham (i),1 new-mexico,"179,380"
2016,R R. Priem,1 new-mexico,"96,061"
2016,R Winner S. Pearce (i),2 new-mexico,"142,499"
2016,D M. Soules,2 new-mexico,"84,514"
2016,D Winner B. Lujan (i),3 new-mexico,"167,848"
2016,R M. Romero,3 new-mexico,"100,529"
2016,R Winner L. Zeldin (i),1 new-york,"174,682"
2016,D A. Throne-Holst,1 new-york,"121,640"
2016,R Winner P. King (i),2 new-york,"171,915"
2016,D D. Gregory,2 new-york,"103,643"
2016,D Winner T. Suozzi,3 new-york,"156,315"
2016,R J. Martins,3 new-york,"142,023"
2016,D Winner K. Rice (i),4 new-york,"173,796"
2016,R D. Gurfein,4 new-york,"118,821"
2016,D Winner G. Meeks (i),5 new-york,"184,179"
2016,R M. O'Reilly,5 new-york,"28,030"
2016,G F. Francois,5 new-york,"3,269"
2016,D Winner G. Meng (i),6 new-york,"126,018"
2016,R D. Maio,6 new-york,"47,278"
2016,O H. Bhatti,6 new-york,"1,979"
2016,D Winner N. Velazquez (i),7 new-york,"158,972"
2016,R A. Romaguera,7 new-york,"16,255"
2016,D Winner H. Jeffries (i),8 new-york,"199,747"
2016,C D. Cavanagh,8 new-york,"14,468"
2016,D Winner Y. Clarke (i),9 new-york,"200,266"
2016,C A. Bellone,9 new-york,"16,617"
2016,D Winner J. Nadler (i),10 new-york,"170,286"
2016,R P. Rosenthal,10 new-york,"49,530"
2016,R Winner D. Donovan (i),11 new-york,"134,366"
2016,D R. Reichard,11 new-york,"78,066"
2016,G H. Bardel,11 new-york,"3,607"
2016,D Winner C. Maloney (i),12 new-york,"219,165"
2016,R R. Ardini,12 new-york,"44,981"
2016,D Winner A. Espaillat,13 new-york,"187,382"
2016,R T. Evans,13 new-york,"14,501"
2016,G D. Vila Rivera,13 new-york,"7,448"
2016,O S. Fenstermaker,13 new-york,"1,714"
2016,D Winner J. Crowley (i),14 new-york,"134,603"
2016,R F. Spotorno,14 new-york,"28,332"
2016,D Winner J. Serrano (i),15 new-york,"150,058"
2016,R A. Vega,15 new-york,"5,606"
2016,C E. Ramirez,15 new-york,"1,899"
2016,D Winner E. Engel (i),16 new-york,"192,671"
2016,O D. Lawrence,16 new-york,"10,840"
2016,D Winner N. Lowey (i),17 new-york,NA
2016,D Winner S. Maloney (i),18 new-york,"149,056"
2016,R P. Oliva,18 new-york,"120,967"
2016,R Winner J. Faso,19 new-york,"153,143"
2016,D Z. Teachout,19 new-york,"126,641"
2016,D Winner P. Tonko (i),20 new-york,"195,005"
2016,R J. Vitollo,20 new-york,"93,407"
2016,R Winner E. Stefanik (i),21 new-york,"164,212"
2016,D M. Derrick,21 new-york,"72,637"
2016,G M. Funiciello,21 new-york,"11,394"
2016,R Winner C. Tenney,22 new-york,"120,777"
2016,D K. Myers,22 new-york,"103,955"
2016,R M. Babinec,22 new-york,"32,303"
2016,R Winner T. Reed (i),23 new-york,"149,779"
2016,D J. Plumb,23 new-york,"107,822"
2016,R Winner J. Katko (i),24 new-york,"170,532"
2016,D C. Deacon,24 new-york,"108,928"
2016,D Winner L. Slaughter (i),25 new-york,"169,199"
2016,R M. Assini,25 new-york,"134,285"
2016,D Winner B. Higgins (i),26 new-york,"193,518"
2016,R S. Schratz,26 new-york,"66,688"
2016,R Winner C. Collins (i),27 new-york,"207,510"
2016,D D. Kastenbaum,27 new-york,"99,222"
2016,D Winner G. Butterfield (i),1 north-carolina,"237,938"
2016,R H. Dew,1 north-carolina,"100,633"
2016,L J. Summerell,1 north-carolina,"8,259"
2016,R Winner G. Holding (i),2 north-carolina,"219,342"
2016,D J. McNeil,2 north-carolina,"167,299"
2016,R Winner W. Jones (i),3 north-carolina,"214,850"
2016,D E. Reeves,3 north-carolina,"104,007"
2016,D Winner D. Price (i),4 north-carolina,"275,501"
2016,R S. Googe,4 north-carolina,"128,331"
2016,R Winner V. Foxx (i),5 north-carolina,"204,943"
2016,D J. Brannon,5 north-carolina,"145,597"
2016,R Winner M. Walker (i),6 north-carolina,"205,973"
2016,D P. Glidewell,6 north-carolina,"141,480"
2016,R Winner D. Rouzer (i),7 north-carolina,"209,933"
2016,D J. Casteen,7 north-carolina,"134,344"
2016,R Winner R. Hudson (i),8 north-carolina,"187,909"
2016,D T. Mills,8 north-carolina,"131,428"
2016,R Winner R. Pittenger (i),9 north-carolina,"191,660"
2016,D C. Cano,9 north-carolina,"137,335"
2016,R Winner P. McHenry (i),10 north-carolina,"219,589"
2016,D A. Millard,10 north-carolina,"128,114"
2016,R Winner M. Meadows (i),11 north-carolina,"229,130"
2016,D R. Bryson,11 north-carolina,"127,972"
2016,D Winner A. Adams (i),12 north-carolina,"232,451"
2016,R L. Threatt,12 north-carolina,"114,242"
2016,R Winner T. Budd,13 north-carolina,"196,736"
2016,D B. Davis,13 north-carolina,"153,691"
2016,R Winner K. Cramer (i),1 north-dakota,"233,245"
2016,D C. Iron Eyes,1 north-dakota,"80,186"
2016,L J. Seaman,1 north-dakota,"23,454"
2016,R Winner S. Chabot (i),1 ohio,"205,283"
2016,D M. Young,1 ohio,"139,279"
2016,R Winner B. Wenstrup (i),2 ohio,"215,265"
2016,D W. Smith,2 ohio,"107,859"
2016,D Winner J. Beatty (i),3 ohio,"189,536"
2016,R J. Adams,3 ohio,"88,040"
2016,R Winner J. Jordan (i),4 ohio,"205,669"
2016,D J. Garrett,4 ohio,"96,334"
2016,R Winner B. Latta (i),5 ohio,"240,036"
2016,D J. Neu,5 ohio,"98,045"
2016,R Winner B. Johnson (i),6 ohio,"209,177"
2016,D M. Lorentz,6 ohio,"86,938"
2016,R Winner B. Gibbs (i),7 ohio,"194,146"
2016,D R. Rich,7 ohio,"87,602"
2016,I D. Phillip,7 ohio,"21,062"
2016,R Winner W. Davidson (i),8 ohio,"219,453"
2016,D S. Fought,8 ohio,"85,313"
2016,G D. Hendricks,8 ohio,"13,371"
2016,D Winner M. Kaptur (i),9 ohio,"187,926"
2016,R D. Larson,9 ohio,"86,311"
2016,R Winner M. Turner (i),10 ohio,"210,256"
2016,D R. Klepinger,10 ohio,"105,947"
2016,I T. McMasters,10 ohio,"10,463"
2016,D Winner M. Fudge (i),11 ohio,"233,285"
2016,R B. Goldstein,11 ohio,"58,066"
2016,R Winner P. Tiberi (i),12 ohio,"243,970"
2016,D E. Albertson,12 ohio,"109,455"
2016,G J. Manchik,12 ohio,"12,848"
2016,D Winner T. Ryan (i),13 ohio,"203,430"
2016,R R. Morckel,13 ohio,"97,312"
2016,R Winner D. Joyce (i),14 ohio,"214,618"
2016,D M. Wager,14 ohio,"127,547"
2016,R Winner S. Stivers (i),15 ohio,"216,186"
2016,D S. Wharton,15 ohio,"110,272"
2016,R Winner J. Renacci (i),16 ohio,"221,495"
2016,D K. Mundy,16 ohio,"117,296"
2016,R Winner J. Bridenstine (i),1 oklahoma,NA
2016,R Winner M. Mullin (i),2 oklahoma,"189,612"
2016,D J. Harris-Till,2 oklahoma,"62,307"
2016,I J. McCarthy,2 oklahoma,"16,618"
2016,R Winner F. Lucas (i),3 oklahoma,"227,276"
2016,D F. Robbins,3 oklahoma,"63,008"
2016,R Winner T. Cole (i),4 oklahoma,"203,942"
2016,D C. Owen,4 oklahoma,"76,380"
2016,L S. White,4 oklahoma,"12,548"
2016,R Winner S. Russell (i),5 oklahoma,"160,012"
2016,D A. McAffrey,5 oklahoma,"103,122"
2016,L Z. Knight,5 oklahoma,"17,084"
2016,D Winner S. Bonamici (i),1 oregon,"207,190"
2016,R B. Heinrich,1 oregon,"129,495"
2016,L K. Sheahan,1 oregon,"10,894"
2016,R Winner G. Walden (i),2 oregon,"267,179"
2016,D J. Crary,2 oregon,"103,383"
2016,D Winner E. Blumenauer (i),3 oregon,"256,159"
2016,O D. Walker,3 oregon,"71,758"
2016,P D. Delk,3 oregon,"25,059"
2016,D Winner P. DeFazio (i),4 oregon,"216,442"
2016,R A. Robinson,4 oregon,"155,271"
2016,P M. Beilstein,4 oregon,"11,807"
2016,L G. Guthrie,4 oregon,"6,349"
2016,D Winner K. Schrader (i),5 oregon,"178,405"
2016,R C. Willis,5 oregon,"143,839"
2016,P M. Sandnes,5 oregon,"10,583"
2016,D Winner R. Brady (i),1 pennsylvania,"237,882"
2016,R D. Williams,1 pennsylvania,"51,516"
2016,D Winner D. Evans,2 pennsylvania,"310,770"
2016,R J. Jones,2 pennsylvania,"33,911"
2016,R Winner M. Kelly (i),3 pennsylvania,NA
2016,R Winner S. Perry (i),4 pennsylvania,"216,772"
2016,D J. Burkholder,4 pennsylvania,"111,158"
2016,R Winner G. Thompson (i),5 pennsylvania,"200,627"
2016,D K. Strano Taylor,5 pennsylvania,"97,686"
2016,R Winner R. Costello (i),6 pennsylvania,"203,671"
2016,D M. Parrish,6 pennsylvania,"151,800"
2016,R Winner P. Meehan (i),7 pennsylvania,"219,314"
2016,D M. Balchunis,7 pennsylvania,"147,808"
2016,R Winner B. Fitzpatrick,8 pennsylvania,"206,607"
2016,D S. Santarsiero,8 pennsylvania,"172,571"
2016,R Winner B. Shuster (i),9 pennsylvania,"183,798"
2016,D A. Halvorson,9 pennsylvania,"105,958"
2016,R Winner T. Marino (i),10 pennsylvania,"208,106"
2016,D M. Molesevich,10 pennsylvania,"87,956"
2016,R Winner L. Barletta (i),11 pennsylvania,"194,889"
2016,D M. Marsicano,11 pennsylvania,"111,025"
2016,R Winner K. Rothfus (i),12 pennsylvania,"217,449"
2016,D E. McClelland,12 pennsylvania,"133,607"
2016,D Winner B. Boyle (i),13 pennsylvania,NA
2016,D Winner M. Doyle (i),14 pennsylvania,"252,709"
2016,R L. McAllister,14 pennsylvania,"87,334"
2016,R Winner C. Dent (i),15 pennsylvania,"184,562"
2016,D R. Daugherty,15 pennsylvania,"120,233"
2016,L P. Rizzo,15 pennsylvania,"11,310"
2016,R Winner L. Smucker,16 pennsylvania,"167,698"
2016,D C. Hartman,16 pennsylvania,"132,969"
2016,L S. House,16 pennsylvania,"10,408"
2016,D Winner M. Cartwright (i),17 pennsylvania,"155,766"
2016,R M. Connolly,17 pennsylvania,"133,719"
2016,R Winner T. Murphy (i),18 pennsylvania,NA
2016,D Winner D. Cicilline (i),1 rhode-island,"129,272"
2016,R R. Taub,1 rhode-island,"70,608"
2016,D Winner J. Langevin (i),2 rhode-island,"131,968"
2016,R R. Reis,2 rhode-island,"69,918"
2016,I J. Johnson,2 rhode-island,"16,116"
2016,I S. Caiozzo,2 rhode-island,"8,867"
2016,R Winner M. Sanford (i),1 south-carolina,"186,735"
2016,D D. Cherny,1 south-carolina,"117,487"
2016,L M. Grier,1 south-carolina,"11,451"
2016,O A. Travison,1 south-carolina,"2,730"
2016,R Winner J. Wilson (i),2 south-carolina,"183,766"
2016,D A. Bjorn,2 south-carolina,"109,488"
2016,O E. McCain,2 south-carolina,"11,436"
2016,R Winner J. Duncan (i),3 south-carolina,"196,793"
2016,D H. Cleveland,3 south-carolina,"72,993"
2016,R Winner T. Gowdy (i),4 south-carolina,"197,235"
2016,D C. Fedalei,4 south-carolina,"91,106"
2016,C M. Chandler,4 south-carolina,"5,045"
2016,R Winner M. Mulvaney (i),5 south-carolina,"175,139"
2016,D F. Person,5 south-carolina,"114,936"
2016,O R. Barnes,5 south-carolina,"6,190"
2016,D Winner J. Clyburn (i),6 south-carolina,"179,351"
2016,R L. Sterling,6 south-carolina,"70,636"
2016,L R. Piotrowski,6 south-carolina,"3,135"
2016,G P. Mallory,6 south-carolina,"2,518"
2016,R Winner T. Rice (i),7 south-carolina,"170,826"
2016,D M. Hyman,7 south-carolina,"110,378"
2016,R Winner K. Noem (i),1 south-dakota,"237,141"
2016,D P. Hawks,1 south-dakota,"132,792"
2016,R Winner P. Roe (i),1 tennessee,"196,563"
2016,D A. Bohms,1 tennessee,"38,513"
2016,I R. Franklin,1 tennessee,"15,605"
2016,R Winner J. Duncan (i),2 tennessee,"212,313"
2016,D S. Starr,2 tennessee,"68,373"
2016,R Winner C. Fleischmann (i),3 tennessee,"176,440"
2016,D M. Shekari,3 tennessee,"76,664"
2016,I C. Mitchell,3 tennessee,"5,069"
2016,I R. Tyler,3 tennessee,"5,091"
2016,I T. Kersting,3 tennessee,"2,489"
2016,R Winner S. DesJarlais (i),4 tennessee,"165,594"
2016,D S. Reynolds,4 tennessee,"89,018"
2016,D Winner J. Cooper (i),5 tennessee,"170,729"
2016,R S. Snyder,5 tennessee,"102,220"
2016,R Winner D. Black (i),6 tennessee,"202,038"
2016,D D. Kent,6 tennessee,"61,940"
2016,I D. Ross,6 tennessee,"20,241"
2016,R Winner M. Blackburn (i),7 tennessee,"199,057"
2016,D T. Chandler,7 tennessee,"64,938"
2016,I L. Ladner,7 tennessee,"11,810"
2016,R Winner D. Kustoff,8 tennessee,"193,353"
2016,D R. Hobson,8 tennessee,"70,426"
2016,I S. Godwin,8 tennessee,"6,418"
2016,I J. Hart,8 tennessee,"4,045"
2016,I A. Montague,8 tennessee,"2,472"
2016,I M. Rawles,8 tennessee,"2,432"
2016,I K. Talley-Lane,8 tennessee,"1,970"
2016,D Winner S. Cohen (i),9 tennessee,"169,911"
2016,R W. Alberson,9 tennessee,"40,580"
2016,I P. Cook,9 tennessee,"5,165"
2016,R Winner L. Gohmert (i),1 texas,"192,066"
2016,D S. McKellar,1 texas,"62,635"
2016,L P. Gray,1 texas,"5,044"
2016,R Winner T. Poe (i),2 texas,"168,524"
2016,D P. Bryan,2 texas,"100,077"
2016,L J. Veasaw,2 texas,"6,418"
2016,G J. Darr,2 texas,"2,872"
2016,R Winner S. Johnson (i),3 texas,"193,063"
2016,D A. Bell,3 texas,"108,780"
2016,L S. Jameson,3 texas,"10,408"
2016,G P. Blair,3 texas,"2,893"
2016,R Winner J. Ratcliffe (i),4 texas,"215,705"
2016,L C. Wommack,4 texas,"29,437"
2016,R Winner J. Hensarling (i),5 texas,"155,149"
2016,L K. Ashby,5 texas,"37,311"
2016,R Winner J. Barton (i),6 texas,"159,213"
2016,D R. Woolridge,6 texas,"106,510"
2016,G D. Smith,6 texas,"7,172"
2016,R Winner J. Culberson (i),7 texas,"143,369"
2016,D J. Cargas,7 texas,"111,774"
2016,R Winner K. Brady (i),8 texas,NA
2016,D Winner A. Green (i),9 texas,"151,884"
2016,R J. Martin,9 texas,"36,454"
2016,R Winner M. McCaul (i),10 texas,"178,926"
2016,D T. Cadien,10 texas,"119,728"
2016,L B. Kelsey,10 texas,"13,174"
2016,R Winner M. Conaway (i),11 texas,"201,476"
2016,L N. Landholt,11 texas,"23,613"
2016,R Winner K. Granger (i),12 texas,"196,331"
2016,D B. Bradshaw,12 texas,"75,938"
2016,L E. Colliver,12 texas,"10,586"
2016,R Winner M. Thornberry (i),13 texas,"198,730"
2016,L C. DeWeese,13 texas,"14,687"
2016,G R. Tomlinson,13 texas,"7,437"
2016,R Winner R. Weber (i),14 texas,"160,340"
2016,D M. Cole,14 texas,"98,815"
2016,D Winner V. Gonzalez,15 texas,"101,592"
2016,R T. Westley,15 texas,"66,732"
2016,G V. Tijerina,15 texas,"5,439"
2016,L R. Leone,15 texas,"3,435"
2016,D Winner B. O'Rourke (i),16 texas,"148,027"
2016,L J. Perez,16 texas,"17,144"
2016,G M. Gourdoux,16 texas,"7,413"
2016,R Winner B. Flores (i),17 texas,"149,157"
2016,D W. Matta,17 texas,"86,352"
2016,L C. Patterson,17 texas,"9,685"
2016,D Winner S. Jackson Lee (i),18 texas,"149,928"
2016,R L. Bartley,18 texas,"48,248"
2016,G T. Kleven,18 texas,"5,838"
2016,R Winner J. Arrington,19 texas,"175,980"
2016,L T. Bonar,19 texas,"17,339"
2016,G M. Lawson,19 texas,"9,761"
2016,D Winner J. Castro (i),20 texas,"149,522"
2016,L J. Blunt,20 texas,"29,023"
2016,G P. Pipkin,20 texas,"8,969"
2016,R Winner L. Smith (i),21 texas,"202,523"
2016,D T. Wakely,21 texas,"129,253"
2016,L M. Loewe,21 texas,"14,698"
2016,G T. Diaz,21 texas,"8,520"
2016,R Winner P. Olson (i),22 texas,"181,663"
2016,D M. Gibson,22 texas,"123,462"
2016,R Winner W. Hurd (i),23 texas,"109,816"
2016,D P. Gallego,23 texas,"106,049"
2016,L R. Corvalan,23 texas,"10,717"
2016,R Winner K. Marchant (i),24 texas,"154,364"
2016,D J. McDowell,24 texas,"107,845"
2016,L M. Kolls,24 texas,"8,574"
2016,G K. McCormick,24 texas,"3,742"
2016,R Winner R. Williams (i),25 texas,"180,579"
2016,D K. Thomas,25 texas,"116,552"
2016,L L. Schneiderman,25 texas,"12,092"
2016,R Winner M. Burgess (i),26 texas,"210,313"
2016,D E. Mauck,26 texas,"93,954"
2016,L M. Boler,26 texas,"12,734"
2016,R Winner B. Farenthold (i),27 texas,"141,722"
2016,D R. Barrera,27 texas,"87,931"
2016,D Winner H. Cuellar (i),28 texas,"121,980"
2016,R Z. Hardin,28 texas,"57,683"
2016,G M. Cary,28 texas,"4,607"
2016,D Winner G. Green (i),29 texas,"95,508"
2016,R J. Garza,29 texas,"31,619"
2016,L R. Perez,29 texas,"3,229"
2016,G J. Partsch-Galvan,29 texas,"1,453"
2016,D Winner E. Johnson (i),30 texas,"169,905"
2016,R C. Lingerfelt,30 texas,"41,365"
2016,L J. Woods,30 texas,"4,740"
2016,G T. Prentice,30 texas,"2,051"
2016,R Winner J. Carter (i),31 texas,"165,678"
2016,D M. Clark,31 texas,"103,543"
2016,L S. Ballard,31 texas,"14,638"
2016,R Winner P. Sessions (i),32 texas,"162,212"
2016,L E. Rankin,32 texas,"43,297"
2016,G G. Stuard,32 texas,"22,692"
2016,D Winner M. Veasey (i),33 texas,"92,914"
2016,R M. Mitchell,33 texas,"33,156"
2016,D Winner F. Vela (i),34 texas,"104,513"
2016,R R. Gonzalez,34 texas,"62,240"
2016,D Winner L. Doggett (i),35 texas,"124,161"
2016,R S. Narvaiz,35 texas,"62,212"
2016,L R. Smith,35 texas,"6,484"
2016,G S. Trimble,35 texas,"4,064"
2016,R Winner B. Babin (i),36 texas,"203,779"
2016,G H. Ridley,36 texas,"25,911"
2016,R Winner R. Bishop (i),1 utah,"157,106"
2016,D P. Clemens,1 utah,"65,403"
2016,L C. Bowden,1 utah,"13,734"
2016,U C. Fairbanks,1 utah,"4,068"
2016,R Winner C. Stewart (i),2 utah,"149,838"
2016,D C. Albarran,2 utah,"83,131"
2016,C P. McCollaum,2 utah,"10,724"
2016,R Winner J. Chaffetz (i),3 utah,"186,743"
2016,D S. Tryon,3 utah,"68,104"
2016,R Winner M. Love (i),4 utah,"123,459"
2016,D D. Owens,4 utah,"96,284"
2016,C C. Simonsen,4 utah,"10,959"
2016,D Winner P. Welch (i),1 vermont,"263,400"
2016,L E. Clawson,1 vermont,"29,326"
2016,R Winner R. Wittman (i),1 virginia,"221,826"
2016,D M. Rowe,1 virginia,"130,320"
2016,I G. Parker,1 virginia,"12,150"
2016,R Winner S. Taylor,2 virginia,"172,586"
2016,D S. Brown,2 virginia,"106,979"
2016,D Winner R. Scott (i),3 virginia,"199,748"
2016,R M. Williams,3 virginia,"99,047"
2016,D Winner D. McEachin,4 virginia,"191,939"
2016,R M. Wade,4 virginia,"143,261"
2016,R Winner T. Garrett,5 virginia,"206,577"
2016,D J. Dittmar,5 virginia,"147,656"
2016,R Winner R. Goodlatte (i),6 virginia,"223,915"
2016,D K. Degner,6 virginia,"111,699"
2016,R Winner D. Brat (i),7 virginia,"217,968"
2016,D E. Bedell,7 virginia,"158,692"
2016,D Winner D. Beyer (i),8 virginia,"245,775"
2016,R C. Hernick,8 virginia,"98,123"
2016,I J. Gracia,8 virginia,"14,617"
2016,R Winner M. Griffith (i),9 virginia,"212,666"
2016,D D. Kitts,9 virginia,"87,822"
2016,I J. Boyd,9 virginia,"9,098"
2016,R Winner B. Comstock (i),10 virginia,"204,019"
2016,D L. Bennett,10 virginia,"181,977"
2016,D Winner G. Connolly (i),11 virginia,NA
2016,D Winner S. DelBene (i),1 washington,"179,521"
2016,R R. Sutherland,1 washington,"144,212"
2016,D Winner R. Larsen (i),2 washington,"195,661"
2016,R M. Hennemann,2 washington,"109,838"
2016,R Winner J. Herrera Beutler (i),3 washington,"183,375"
2016,D J. Moeller,3 washington,"115,277"
2016,R Winner D. Newhouse (i),4 washington,"121,256"
2016,R C. Didier,4 washington,"90,091"
2016,R Winner C. McMorris Rodgers (i),5 washington,"170,711"
2016,D J. Pakootas,5 washington,"116,110"
2016,D Winner D. Kilmer (i),6 washington,"189,168"
2016,R T. Bloom,6 washington,"117,388"
2016,D Winner P. Jayapal,7 washington,"192,566"
2016,D B. Walkinshaw,7 washington,"150,803"
2016,R Winner D. Reichert (i),8 washington,"174,729"
2016,D T. Ventrella,8 washington,"116,268"
2016,D Winner A. Smith (i),9 washington,"186,787"
2016,R D. Basler,9 washington,"68,998"
2016,D Winner D. Heck (i),10 washington,"159,208"
2016,R J. Postma,10 washington,"112,164"
2016,R Winner D. McKinley (i),1 west-virginia,"162,339"
2016,D M. Manypenny,1 west-virginia,"73,025"
2016,R Winner A. Mooney (i),2 west-virginia,"140,153"
2016,D M. Hunt,2 west-virginia,"100,551"
2016,R Winner E. Jenkins (i),3 west-virginia,"139,700"
2016,D M. Detch,3 west-virginia,"49,309"
2016,L Z. Lawhorn,3 west-virginia,"16,777"
2016,R Winner P. Ryan (i),1 wisconsin,"230,063"
2016,D R. Solen,1 wisconsin,"106,857"
2016,I S. Zimmerman,1 wisconsin,"9,435"
2016,L J. Lebeck,1 wisconsin,"7,493"
2016,D Winner M. Pocan (i),2 wisconsin,"275,016"
2016,R P. Theron,2 wisconsin,"125,033"
2016,D Winner R. Kind (i),3 wisconsin,NA
2016,D Winner G. Moore (i),4 wisconsin,"220,389"
2016,I R. Raymond,4 wisconsin,"33,496"
2016,L A. Craig,4 wisconsin,"32,184"
2016,R Winner J. Sensenbrenner (i),5 wisconsin,"260,703"
2016,D K. Penebaker,5 wisconsin,"114,469"
2016,L J. Arndt,5 wisconsin,"15,324"
2016,R Winner G. Grothman (i),6 wisconsin,"203,920"
