719,OH,11,D
721,OH,12,R
724,OH,13,D
726,OH,14,R
728,OH,15,R
731,OH,16,R
733,OK,1,R
735,OK,2,R
738,OK,3,R
740,OK,4,R
743,OK,5,R
745,OR,1,D
748,OR,2,R
751,OR,3,D
754,OR,4,D
757,OR,5,D
760,PA,1,R
762,PA,2,D
764,PA,3,D
766,PA,4,D
768,PA,5,D
770,PA,6,D
772,PA,7,D
775,PA,8,D
777,PA,9,R
779,PA,10,R
781,PA,11,R
783,PA,12,R
785,PA,13,R
787,PA,14,R
789,PA,15,R
791,PA,16,R
794,PA,17,D
796,PA,18,D
797,RI,1,D
799,RI,2,D
801,SC,1,R
803,SC,2,R
806,SC,3,R
809,SC,4,R
812,SC,5,R
815,SC,6,D
818,SC,7,R
820,SD,1,R
823,TN,1,R
826,TN,2,R
829,TN,3,R
832,TN,4,R
835,TN,5,D
837,TN,6,R
840,TN,7,R
843,TN,8,R
846,TN,9,D
849,TX,1,R
852,TX,2,R
855,TX,3,R
858,TX,4,R
861,TX,5,R
863,TX,6,R
866,TX,7,R
868,TX,8,R
871,TX,9,D
873,TX,10,R
876,TX,11,R
879,TX,12,R
882,TX,13,R
885,TX,14,R
888,TX,15,D
891,TX,16,D
894,TX,17,R
897,TX,18,D
900,TX,19,R
902,TX,20,D
904,TX,21,R
907,TX,22,R
910,TX,23,R
913,TX,24,R
915,TX,25,R
918,TX,26,R
921,TX,27,R
924,TX,28,D
926,TX,29,D
929,TX,30,D
931,TX,31,R
934,TX,32,R
937,TX,33,D
940,TX,34,D
942,TX,35,D
945,TX,36,R
947,UT,1,R
950,UT,2,R
953,UT,3,R
956,UT,4,D
982,VT,1,D
958,VA,1,R
960,VA,2,R
962,VA,3,D
963,VA,4,D
966,VA,5,R
968,VA,6,R
970,VA,7,D
973,VA,8,D
975,VA,9,R
977,VA,10,D
979,VA,11,D
985,WA,1,D
987,WA,2,D
989,WA,3,R
991,WA,4,R
993,WA,5,R
995,WA,6,D
997,WA,7,D
999,WA,8,D
1001,WA,9,D
1003,WA,10,D
1023,WV,1,R
1025,WV,2,R
1028,WV,3,R
1005,WI,1,R
1008,WI,2,D
1009,WI,3,D
1011,WI,4,D
1014,WI,5,R
1016,WI,6,R
1018,WI,7,R
1021,WI,8,R
1030,WY,1,R
